MATC,MATK,TEN,LOAI,GIONG,NGAYSINH,GIOITINH,TINHTRANGSUCKHOE
5028,11059,Jane,Chó,Ta,2024-07-01,Nam,Khỏe
5029,8821,John,Mèo,Ta,2021-01-23,Nam,Khỏe
5030,12907,John,Mèo,Ta,2024-11-14,Nam,Khỏe
5031,24696,Jane,Mèo,Ta,2024-10-23,Nữ,Khỏe
5032,3261,Jane,Mèo,Ta,2023-05-23,Nam,Khỏe
5033,17820,John,Mèo,Ta,2024-10-08,Nam,Khỏe
5034,11759,John,Chó,Ta,2020-05-17,Nam,Khỏe
5035,1176,Jane,Mèo,Ta,2020-09-06,Nữ,Khỏe
5036,4355,John,Mèo,Ta,2023-09-12,Nam,Khỏe
5037,2837,Jane,Mèo,Ta,2022-08-24,Nam,Khỏe
5038,8349,John,Mèo,Ta,2023-06-18,Nam,Khỏe
5039,3619,Jane,Mèo,Ta,2023-10-25,Nữ,Khỏe
5040,16906,John,Mèo,Ta,2024-09-10,Nữ,Khỏe
5041,11846,John,Chó,Ta,2021-01-01,Nữ,Khỏe
5042,17655,John,Chó,Ta,2021-10-15,Nữ,Khỏe
5043,23695,John,Chó,Ta,2024-02-19,Nữ,Khỏe
5044,9556,John,Chó,Ta,2022-12-19,Nữ,Khỏe
5045,19817,Jane,Chó,Ta,2021-10-14,Nam,Khỏe
5046,5002,John,Mèo,Ta,2022-05-02,Nam,Khỏe
5047,11800,Jane,Mèo,Ta,2021-07-17,Nữ,Khỏe
5048,22075,Jane,Mèo,Ta,2023-03-24,Nữ,Khỏe
5049,21409,Jane,Mèo,Ta,2024-12-19,Nữ,Khỏe
5050,24124,Jane,Chó,Ta,2022-11-07,Nam,Khỏe
5051,4464,Jane,Mèo,Ta,2023-07-04,Nữ,Khỏe
5052,21681,John,Mèo,Ta,2024-03-12,Nam,Khỏe
5053,19814,Jane,Chó,Ta,2024-09-15,Nữ,Khỏe
5054,6684,Jane,Chó,Ta,2021-02-08,Nam,Khỏe
5055,15157,John,Mèo,Ta,2023-11-06,Nam,Khỏe
5056,3513,Jane,Mèo,Ta,2020-06-19,Nữ,Khỏe
5057,15171,John,Mèo,Ta,2024-08-30,Nam,Khỏe
5058,2088,John,Chó,Ta,2021-08-20,Nữ,Khỏe
5059,16225,Jane,Mèo,Ta,2021-04-12,Nữ,Khỏe
5060,19071,Jane,Mèo,Ta,2024-03-06,Nam,Khỏe
5061,27518,Jane,Mèo,Ta,2021-04-30,Nam,Khỏe
5062,11980,John,Chó,Ta,2021-09-03,Nam,Khỏe
5063,15446,John,Mèo,Ta,2022-02-05,Nam,Khỏe
5064,7256,John,Chó,Ta,2021-04-01,Nam,Khỏe
5065,20071,Jane,Chó,Ta,2023-01-11,Nữ,Khỏe
5066,19892,John,Mèo,Ta,2024-06-19,Nam,Khỏe
5067,3786,Jane,Mèo,Ta,2024-06-03,Nữ,Khỏe
5068,4322,John,Chó,Ta,2020-04-11,Nam,Khỏe
5069,1801,John,Mèo,Ta,2021-12-27,Nam,Khỏe
5070,7106,Jane,Mèo,Ta,2020-02-03,Nữ,Khỏe
5071,29712,Jane,Chó,Ta,2023-11-03,Nữ,Khỏe
5072,19606,Jane,Chó,Ta,2023-05-30,Nam,Khỏe
5073,2113,John,Mèo,Ta,2021-03-09,Nam,Khỏe
5074,29984,John,Mèo,Ta,2020-05-01,Nam,Khỏe
5075,27396,John,Chó,Ta,2023-01-15,Nữ,Khỏe
5076,24383,Jane,Mèo,Ta,2024-08-15,Nữ,Khỏe
5077,15392,John,Mèo,Ta,2023-03-10,Nữ,Khỏe
5078,3897,John,Mèo,Ta,2023-07-04,Nữ,Khỏe
5079,9262,John,Chó,Ta,2021-07-06,Nữ,Khỏe
5080,4330,John,Mèo,Ta,2021-12-01,Nữ,Khỏe
5081,14681,John,Chó,Ta,2023-11-09,Nữ,Khỏe
5082,17553,John,Mèo,Ta,2021-03-27,Nam,Khỏe
5083,25639,Jane,Chó,Ta,2020-03-01,Nam,Khỏe
5084,28707,Jane,Chó,Ta,2021-11-30,Nữ,Khỏe
5085,10139,Jane,Mèo,Ta,2020-05-01,Nữ,Khỏe
5086,29086,Jane,Chó,Ta,2023-11-24,Nam,Khỏe
5087,10233,John,Chó,Ta,2024-01-25,Nữ,Khỏe
5088,3580,Jane,Chó,Ta,2023-04-11,Nữ,Khỏe
5089,20890,Jane,Mèo,Ta,2020-04-25,Nam,Khỏe
5090,2230,John,Mèo,Ta,2021-11-09,Nữ,Khỏe
5091,560,John,Mèo,Ta,2024-11-21,Nam,Khỏe
5092,19999,John,Mèo,Ta,2024-11-10,Nam,Khỏe
5093,15138,Jane,Chó,Ta,2022-09-30,Nam,Khỏe
5094,8159,John,Mèo,Ta,2022-05-25,Nữ,Khỏe
5095,29784,Jane,Chó,Ta,2022-05-13,Nữ,Khỏe
5096,29576,John,Mèo,Ta,2023-09-11,Nữ,Khỏe
5097,21577,Jane,Mèo,Ta,2022-03-21,Nam,Khỏe
5098,8808,John,Chó,Ta,2022-02-23,Nam,Khỏe
5099,29531,Jane,Mèo,Ta,2022-02-01,Nam,Khỏe
5100,5829,Jane,Mèo,Ta,2024-12-15,Nam,Khỏe
5101,6360,John,Chó,Ta,2024-08-06,Nữ,Khỏe
5102,28498,Jane,Chó,Ta,2023-09-12,Nam,Khỏe
5103,29004,John,Chó,Ta,2021-04-05,Nam,Khỏe
5104,16196,John,Mèo,Ta,2023-07-24,Nam,Khỏe
5105,21956,John,Chó,Ta,2023-04-24,Nữ,Khỏe
5106,676,John,Mèo,Ta,2020-03-05,Nam,Khỏe
5107,20587,Jane,Chó,Ta,2020-01-22,Nữ,Khỏe
5108,1184,John,Mèo,Ta,2021-09-14,Nam,Khỏe
5109,22366,John,Chó,Ta,2023-01-07,Nữ,Khỏe
5110,21826,Jane,Chó,Ta,2021-01-10,Nam,Khỏe
5111,20996,Jane,Mèo,Ta,2022-11-21,Nữ,Khỏe
5112,15375,John,Chó,Ta,2022-01-12,Nam,Khỏe
5113,18131,John,Chó,Ta,2023-03-22,Nam,Khỏe
5114,5292,John,Chó,Ta,2020-04-20,Nữ,Khỏe
5115,17551,John,Chó,Ta,2020-06-21,Nữ,Khỏe
5116,23554,Jane,Mèo,Ta,2023-06-02,Nam,Khỏe
5117,14774,Jane,Mèo,Ta,2023-01-05,Nữ,Khỏe
5118,28751,Jane,Chó,Ta,2023-06-18,Nữ,Khỏe
5119,27628,John,Chó,Ta,2024-03-13,Nữ,Khỏe
5120,13647,Jane,Chó,Ta,2023-05-21,Nữ,Khỏe
5121,19289,John,Mèo,Ta,2021-02-12,Nữ,Khỏe
5122,3407,John,Chó,Ta,2020-11-21,Nam,Khỏe
5123,5510,John,Mèo,Ta,2021-11-15,Nam,Khỏe
5124,23242,John,Chó,Ta,2022-01-23,Nữ,Khỏe
5125,24724,Jane,Mèo,Ta,2024-12-18,Nam,Khỏe
5126,28611,Jane,Chó,Ta,2022-12-10,Nữ,Khỏe
5127,21838,John,Mèo,Ta,2021-07-25,Nữ,Khỏe
5128,4831,Jane,Chó,Ta,2023-12-31,Nữ,Khỏe
5129,10552,Jane,Chó,Ta,2024-04-12,Nam,Khỏe
5130,19808,Jane,Chó,Ta,2021-11-25,Nữ,Khỏe
5131,14100,John,Mèo,Ta,2023-05-21,Nữ,Khỏe
5132,5754,Jane,Mèo,Ta,2020-03-19,Nữ,Khỏe
5133,24751,Jane,Mèo,Ta,2021-05-29,Nam,Khỏe
5134,17277,Jane,Chó,Ta,2021-12-31,Nam,Khỏe
5135,4740,John,Chó,Ta,2024-03-20,Nữ,Khỏe
5136,11932,John,Chó,Ta,2024-10-31,Nam,Khỏe
5137,9010,Jane,Mèo,Ta,2022-12-23,Nam,Khỏe
5138,8299,Jane,Chó,Ta,2020-03-06,Nam,Khỏe
5139,25175,Jane,Chó,Ta,2024-10-23,Nữ,Khỏe
5140,27141,Jane,Mèo,Ta,2022-03-17,Nam,Khỏe
5141,23953,John,Mèo,Ta,2022-10-03,Nữ,Khỏe
5142,11480,Jane,Chó,Ta,2024-12-04,Nam,Khỏe
5143,4316,Jane,Mèo,Ta,2022-02-10,Nữ,Khỏe
5144,28017,John,Mèo,Ta,2021-03-30,Nữ,Khỏe
5145,18176,John,Mèo,Ta,2022-11-24,Nam,Khỏe
5146,29870,John,Chó,Ta,2020-01-11,Nam,Khỏe
5147,14351,John,Chó,Ta,2020-11-09,Nam,Khỏe
5148,25051,Jane,Chó,Ta,2020-10-15,Nam,Khỏe
5149,12987,John,Mèo,Ta,2024-07-20,Nữ,Khỏe
5150,27567,Jane,Chó,Ta,2024-11-26,Nữ,Khỏe
5151,29844,Jane,Mèo,Ta,2021-01-28,Nữ,Khỏe
5152,25879,Jane,Mèo,Ta,2021-11-22,Nữ,Khỏe
5153,26696,Jane,Chó,Ta,2022-07-10,Nữ,Khỏe
5154,17125,John,Mèo,Ta,2022-09-02,Nam,Khỏe
5155,12316,Jane,Mèo,Ta,2020-08-03,Nữ,Khỏe
5156,22330,Jane,Mèo,Ta,2022-09-04,Nữ,Khỏe
5157,24199,Jane,Mèo,Ta,2020-02-15,Nam,Khỏe
5158,2683,Jane,Mèo,Ta,2020-06-22,Nam,Khỏe
5159,8251,Jane,Chó,Ta,2022-08-07,Nữ,Khỏe
5160,12467,Jane,Mèo,Ta,2021-07-29,Nữ,Khỏe
5161,25927,John,Mèo,Ta,2021-09-17,Nam,Khỏe
5162,16437,Jane,Mèo,Ta,2024-07-28,Nữ,Khỏe
5163,5931,Jane,Chó,Ta,2022-01-10,Nam,Khỏe
5164,5553,Jane,Mèo,Ta,2021-06-22,Nữ,Khỏe
5165,14673,John,Mèo,Ta,2021-01-11,Nữ,Khỏe
5166,11261,John,Chó,Ta,2022-07-25,Nữ,Khỏe
5167,27830,John,Mèo,Ta,2021-12-06,Nam,Khỏe
5168,10111,John,Mèo,Ta,2024-04-04,Nữ,Khỏe
5169,29816,Jane,Chó,Ta,2021-11-28,Nữ,Khỏe
5170,23417,Jane,Mèo,Ta,2023-02-12,Nam,Khỏe
5171,21226,Jane,Chó,Ta,2022-10-12,Nam,Khỏe
5172,3928,John,Mèo,Ta,2024-02-16,Nữ,Khỏe
5173,17262,Jane,Chó,Ta,2021-05-03,Nam,Khỏe
5174,16113,John,Chó,Ta,2023-01-24,Nam,Khỏe
5175,23801,John,Chó,Ta,2022-08-20,Nam,Khỏe
5176,28573,John,Mèo,Ta,2023-11-17,Nữ,Khỏe
5177,23260,Jane,Mèo,Ta,2022-09-11,Nam,Khỏe
5178,2601,Jane,Mèo,Ta,2024-03-06,Nữ,Khỏe
5179,19766,Jane,Chó,Ta,2021-05-25,Nam,Khỏe
5180,29611,John,Chó,Ta,2021-01-28,Nữ,Khỏe
5181,22209,Jane,Mèo,Ta,2020-03-18,Nữ,Khỏe
5182,7220,John,Mèo,Ta,2022-04-12,Nam,Khỏe
5183,23417,Jane,Mèo,Ta,2023-12-06,Nam,Khỏe
5184,10195,John,Mèo,Ta,2020-09-19,Nam,Khỏe
5185,28708,Jane,Mèo,Ta,2023-09-04,Nữ,Khỏe
5186,8387,Jane,Mèo,Ta,2022-06-04,Nam,Khỏe
5187,18789,Jane,Chó,Ta,2022-02-07,Nữ,Khỏe
5188,15077,Jane,Chó,Ta,2024-04-18,Nữ,Khỏe
5189,14757,Jane,Mèo,Ta,2022-01-08,Nữ,Khỏe
5190,10047,Jane,Mèo,Ta,2020-01-18,Nam,Khỏe
5191,16303,Jane,Mèo,Ta,2024-09-21,Nam,Khỏe
5192,22847,Jane,Chó,Ta,2022-04-30,Nam,Khỏe
5193,23575,Jane,Chó,Ta,2023-06-15,Nữ,Khỏe
5194,6059,Jane,Mèo,Ta,2020-05-24,Nữ,Khỏe
5195,17681,John,Mèo,Ta,2022-04-29,Nữ,Khỏe
5196,3089,John,Mèo,Ta,2020-07-24,Nam,Khỏe
5197,346,Jane,Chó,Ta,2023-11-03,Nữ,Khỏe
5198,2414,John,Mèo,Ta,2022-12-04,Nữ,Khỏe
5199,14587,Jane,Mèo,Ta,2022-06-02,Nam,Khỏe
5200,19690,John,Mèo,Ta,2023-07-09,Nam,Khỏe
5201,25563,John,Mèo,Ta,2023-01-31,Nam,Khỏe
5202,21269,John,Chó,Ta,2020-11-13,Nữ,Khỏe
5203,7414,Jane,Chó,Ta,2021-06-07,Nam,Khỏe
5204,9989,Jane,Chó,Ta,2022-05-15,Nam,Khỏe
5205,11804,John,Mèo,Ta,2020-01-05,Nữ,Khỏe
5206,29556,John,Mèo,Ta,2022-08-20,Nam,Khỏe
5207,8432,John,Mèo,Ta,2023-01-28,Nữ,Khỏe
5208,28218,Jane,Chó,Ta,2021-12-02,Nam,Khỏe
5209,4770,John,Chó,Ta,2023-05-15,Nam,Khỏe
5210,29924,John,Mèo,Ta,2021-11-12,Nam,Khỏe
5211,27469,Jane,Chó,Ta,2020-04-01,Nữ,Khỏe
5212,4423,Jane,Mèo,Ta,2020-06-21,Nam,Khỏe
5213,28355,John,Chó,Ta,2024-02-21,Nữ,Khỏe
5214,23318,John,Mèo,Ta,2023-01-10,Nam,Khỏe
5215,191,Jane,Mèo,Ta,2022-02-06,Nữ,Khỏe
5216,1541,Jane,Chó,Ta,2022-04-12,Nữ,Khỏe
5217,5956,John,Mèo,Ta,2020-04-14,Nữ,Khỏe
5218,20442,John,Mèo,Ta,2024-06-08,Nữ,Khỏe
5219,3008,John,Chó,Ta,2020-08-01,Nữ,Khỏe
5220,25551,John,Mèo,Ta,2023-12-25,Nam,Khỏe
5221,3524,Jane,Chó,Ta,2021-06-07,Nam,Khỏe
5222,5007,Jane,Chó,Ta,2020-01-10,Nam,Khỏe
5223,15978,John,Mèo,Ta,2021-04-16,Nữ,Khỏe
5224,21123,John,Chó,Ta,2023-09-15,Nữ,Khỏe
5225,28741,John,Chó,Ta,2023-11-04,Nữ,Khỏe
5226,24518,John,Chó,Ta,2022-06-15,Nam,Khỏe
5227,19762,Jane,Chó,Ta,2023-07-29,Nữ,Khỏe
5228,2090,Jane,Chó,Ta,2024-10-30,Nam,Khỏe
5229,241,Jane,Mèo,Ta,2020-01-03,Nam,Khỏe
5230,8808,Jane,Mèo,Ta,2022-01-15,Nam,Khỏe
5231,11526,John,Chó,Ta,2020-12-25,Nam,Khỏe
5232,10815,Jane,Chó,Ta,2022-02-10,Nam,Khỏe
5233,22962,Jane,Mèo,Ta,2020-03-10,Nữ,Khỏe
5234,26535,Jane,Chó,Ta,2020-11-25,Nữ,Khỏe
5235,310,Jane,Mèo,Ta,2021-10-04,Nam,Khỏe
5236,20647,Jane,Mèo,Ta,2022-11-28,Nữ,Khỏe
5237,8445,Jane,Mèo,Ta,2024-08-01,Nữ,Khỏe
5238,24404,John,Mèo,Ta,2023-04-22,Nam,Khỏe
5239,25441,Jane,Chó,Ta,2020-01-07,Nam,Khỏe
5240,21014,John,Mèo,Ta,2023-04-23,Nam,Khỏe
5241,19473,Jane,Mèo,Ta,2022-02-25,Nam,Khỏe
5242,7041,Jane,Chó,Ta,2022-10-29,Nữ,Khỏe
5243,6616,Jane,Mèo,Ta,2023-11-15,Nữ,Khỏe
5244,3734,John,Chó,Ta,2020-05-15,Nữ,Khỏe
5245,21898,John,Mèo,Ta,2023-07-11,Nữ,Khỏe
5246,4351,John,Chó,Ta,2024-11-24,Nữ,Khỏe
5247,7199,Jane,Chó,Ta,2022-07-07,Nam,Khỏe
5248,16887,Jane,Mèo,Ta,2020-12-06,Nữ,Khỏe
5249,18531,Jane,Chó,Ta,2023-06-13,Nam,Khỏe
5250,5114,John,Mèo,Ta,2022-10-18,Nam,Khỏe
5251,16398,John,Mèo,Ta,2022-12-26,Nam,Khỏe
5252,9891,Jane,Chó,Ta,2023-07-16,Nữ,Khỏe
5253,18159,John,Mèo,Ta,2020-07-07,Nam,Khỏe
5254,8849,John,Mèo,Ta,2021-05-15,Nữ,Khỏe
5255,1815,John,Chó,Ta,2021-09-11,Nữ,Khỏe
5256,6859,Jane,Chó,Ta,2020-06-19,Nam,Khỏe
5257,2233,Jane,Chó,Ta,2024-10-01,Nam,Khỏe
5258,11081,John,Chó,Ta,2024-03-21,Nam,Khỏe
5259,17037,Jane,Mèo,Ta,2023-12-18,Nữ,Khỏe
5260,9940,Jane,Chó,Ta,2023-05-21,Nữ,Khỏe
5261,12491,John,Chó,Ta,2022-01-06,Nữ,Khỏe
5262,5522,John,Chó,Ta,2020-01-19,Nữ,Khỏe
5263,10275,Jane,Mèo,Ta,2023-10-26,Nữ,Khỏe
5264,772,Jane,Chó,Ta,2021-10-05,Nữ,Khỏe
5265,9132,Jane,Mèo,Ta,2021-08-29,Nữ,Khỏe
5266,24435,John,Chó,Ta,2023-06-22,Nam,Khỏe
5267,26745,Jane,Mèo,Ta,2020-11-10,Nữ,Khỏe
5268,21908,John,Mèo,Ta,2020-03-15,Nữ,Khỏe
5269,784,Jane,Chó,Ta,2023-12-15,Nam,Khỏe
5270,10874,John,Chó,Ta,2021-09-07,Nam,Khỏe
5271,14073,Jane,Mèo,Ta,2021-09-16,Nam,Khỏe
5272,27088,John,Mèo,Ta,2022-03-07,Nam,Khỏe
5273,6997,John,Mèo,Ta,2020-07-02,Nữ,Khỏe
5274,29476,Jane,Chó,Ta,2021-12-30,Nam,Khỏe
5275,3038,Jane,Mèo,Ta,2020-03-19,Nam,Khỏe
5276,19881,Jane,Chó,Ta,2020-01-06,Nam,Khỏe
5277,2554,Jane,Mèo,Ta,2020-11-03,Nữ,Khỏe
5278,18758,Jane,Chó,Ta,2023-05-10,Nữ,Khỏe
5279,17903,John,Mèo,Ta,2020-10-23,Nữ,Khỏe
5280,25053,John,Mèo,Ta,2021-08-28,Nam,Khỏe
5281,12484,John,Mèo,Ta,2023-07-03,Nữ,Khỏe
5282,15187,John,Chó,Ta,2022-02-21,Nữ,Khỏe
5283,15758,John,Mèo,Ta,2022-05-31,Nữ,Khỏe
5284,29523,John,Chó,Ta,2021-09-13,Nam,Khỏe
5285,8790,Jane,Chó,Ta,2023-07-04,Nam,Khỏe
5286,8880,Jane,Chó,Ta,2023-10-20,Nữ,Khỏe
5287,11043,John,Chó,Ta,2024-04-29,Nữ,Khỏe
5288,27934,Jane,Chó,Ta,2020-04-28,Nam,Khỏe
5289,9876,John,Mèo,Ta,2024-09-14,Nam,Khỏe
5290,19240,Jane,Mèo,Ta,2020-07-24,Nữ,Khỏe
5291,14575,John,Chó,Ta,2023-04-04,Nam,Khỏe
5292,12788,Jane,Mèo,Ta,2023-09-14,Nam,Khỏe
5293,10098,John,Chó,Ta,2024-07-30,Nữ,Khỏe
5294,8166,Jane,Mèo,Ta,2023-03-30,Nam,Khỏe
5295,26347,John,Chó,Ta,2023-06-17,Nam,Khỏe
5296,14772,John,Mèo,Ta,2023-04-09,Nam,Khỏe
5297,11889,Jane,Mèo,Ta,2023-09-06,Nam,Khỏe
5298,9393,Jane,Mèo,Ta,2021-12-26,Nữ,Khỏe
5299,21227,John,Chó,Ta,2021-10-05,Nam,Khỏe
5300,11196,John,Chó,Ta,2023-06-22,Nam,Khỏe
5301,17096,Jane,Chó,Ta,2021-04-19,Nữ,Khỏe
5302,18215,John,Mèo,Ta,2020-05-01,Nữ,Khỏe
5303,4972,John,Chó,Ta,2021-11-26,Nam,Khỏe
5304,10713,John,Mèo,Ta,2024-09-10,Nữ,Khỏe
5305,9462,John,Chó,Ta,2022-04-22,Nam,Khỏe
5306,11152,John,Chó,Ta,2022-01-05,Nữ,Khỏe
5307,29950,Jane,Chó,Ta,2021-01-15,Nam,Khỏe
5308,28265,John,Mèo,Ta,2022-06-21,Nam,Khỏe
5309,1305,John,Mèo,Ta,2021-09-26,Nam,Khỏe
5310,24963,John,Mèo,Ta,2020-01-10,Nữ,Khỏe
5311,10326,John,Chó,Ta,2020-03-10,Nữ,Khỏe
5312,19179,Jane,Mèo,Ta,2023-06-25,Nam,Khỏe
5313,13658,John,Chó,Ta,2023-11-20,Nam,Khỏe
5314,27060,Jane,Chó,Ta,2022-06-11,Nữ,Khỏe
5315,28712,John,Mèo,Ta,2021-07-21,Nam,Khỏe
5316,20567,John,Chó,Ta,2022-11-24,Nữ,Khỏe
5317,5421,John,Mèo,Ta,2020-11-10,Nữ,Khỏe
5318,28807,John,Chó,Ta,2020-01-09,Nữ,Khỏe
5319,12815,John,Chó,Ta,2021-10-17,Nữ,Khỏe
5320,21415,John,Mèo,Ta,2024-07-25,Nam,Khỏe
5321,2605,Jane,Chó,Ta,2023-09-14,Nam,Khỏe
5322,15849,Jane,Mèo,Ta,2021-09-19,Nam,Khỏe
5323,18193,Jane,Mèo,Ta,2024-07-10,Nữ,Khỏe
5324,6000,Jane,Chó,Ta,2020-02-04,Nữ,Khỏe
5325,968,John,Chó,Ta,2024-11-11,Nữ,Khỏe
5326,3774,John,Mèo,Ta,2022-09-06,Nam,Khỏe
5327,7733,John,Chó,Ta,2021-01-03,Nam,Khỏe
5328,13510,John,Mèo,Ta,2024-09-05,Nữ,Khỏe
5329,21873,John,Mèo,Ta,2024-06-06,Nam,Khỏe
5330,24270,Jane,Mèo,Ta,2022-09-03,Nam,Khỏe
5331,16425,Jane,Mèo,Ta,2024-02-13,Nữ,Khỏe
5332,4399,John,Chó,Ta,2023-08-12,Nam,Khỏe
5333,13091,Jane,Mèo,Ta,2024-08-10,Nam,Khỏe
5334,16852,Jane,Mèo,Ta,2024-08-21,Nữ,Khỏe
5335,19625,Jane,Mèo,Ta,2023-08-10,Nam,Khỏe
5336,28321,Jane,Chó,Ta,2024-06-22,Nữ,Khỏe
5337,22395,Jane,Chó,Ta,2020-07-05,Nam,Khỏe
5338,26182,John,Mèo,Ta,2021-03-02,Nữ,Khỏe
5339,12148,Jane,Mèo,Ta,2024-05-18,Nữ,Khỏe
5340,4,John,Mèo,Ta,2021-05-10,Nam,Khỏe
5341,5346,Jane,Chó,Ta,2020-10-31,Nữ,Khỏe
5342,8733,Jane,Mèo,Ta,2024-01-11,Nữ,Khỏe
5343,28984,John,Chó,Ta,2023-08-06,Nam,Khỏe
5344,13258,John,Chó,Ta,2022-06-08,Nam,Khỏe
5345,2223,John,Chó,Ta,2020-03-17,Nữ,Khỏe
5346,29275,John,Chó,Ta,2024-12-28,Nữ,Khỏe
5347,7750,Jane,Mèo,Ta,2021-05-08,Nam,Khỏe
5348,26538,Jane,Chó,Ta,2021-05-28,Nam,Khỏe
5349,25908,John,Mèo,Ta,2022-12-23,Nam,Khỏe
5350,28087,John,Mèo,Ta,2020-01-27,Nam,Khỏe
5351,10097,Jane,Mèo,Ta,2023-02-18,Nam,Khỏe
5352,28967,John,Mèo,Ta,2020-07-03,Nữ,Khỏe
5353,870,Jane,Chó,Ta,2020-05-05,Nữ,Khỏe
5354,2956,Jane,Mèo,Ta,2020-05-09,Nam,Khỏe
5355,5253,Jane,Mèo,Ta,2022-06-11,Nam,Khỏe
5356,13428,Jane,Chó,Ta,2023-09-29,Nữ,Khỏe
5357,23333,Jane,Mèo,Ta,2021-09-17,Nam,Khỏe
5358,12172,John,Mèo,Ta,2022-05-19,Nam,Khỏe
5359,20325,John,Mèo,Ta,2020-03-18,Nữ,Khỏe
5360,23107,John,Mèo,Ta,2023-04-12,Nữ,Khỏe
5361,9723,Jane,Chó,Ta,2020-04-24,Nữ,Khỏe
5362,14506,Jane,Chó,Ta,2022-03-19,Nam,Khỏe
5363,7402,Jane,Mèo,Ta,2022-03-14,Nam,Khỏe
5364,24138,John,Mèo,Ta,2024-03-16,Nam,Khỏe
5365,23920,John,Chó,Ta,2020-09-08,Nam,Khỏe
5366,5826,John,Mèo,Ta,2020-01-09,Nữ,Khỏe
5367,5291,Jane,Chó,Ta,2022-11-22,Nam,Khỏe
5368,297,John,Mèo,Ta,2023-06-21,Nam,Khỏe
5369,15650,Jane,Mèo,Ta,2024-02-06,Nam,Khỏe
5370,365,Jane,Mèo,Ta,2023-04-21,Nam,Khỏe
5371,14748,John,Mèo,Ta,2023-03-25,Nam,Khỏe
5372,19649,John,Chó,Ta,2022-02-22,Nữ,Khỏe
5373,2016,Jane,Chó,Ta,2023-11-17,Nữ,Khỏe
5374,4877,John,Mèo,Ta,2021-12-14,Nữ,Khỏe
5375,23888,Jane,Chó,Ta,2022-04-13,Nữ,Khỏe
5376,1301,John,Chó,Ta,2023-08-27,Nữ,Khỏe
5377,8631,Jane,Chó,Ta,2020-07-09,Nam,Khỏe
5378,10320,Jane,Chó,Ta,2023-04-07,Nữ,Khỏe
5379,20009,Jane,Chó,Ta,2021-04-21,Nữ,Khỏe
5380,23720,Jane,Chó,Ta,2024-03-29,Nam,Khỏe
5381,3987,Jane,Mèo,Ta,2021-09-23,Nam,Khỏe
5382,29238,John,Chó,Ta,2024-07-03,Nam,Khỏe
5383,5921,Jane,Chó,Ta,2022-07-30,Nữ,Khỏe
5384,9099,Jane,Mèo,Ta,2022-11-20,Nam,Khỏe
5385,18862,John,Mèo,Ta,2020-05-21,Nam,Khỏe
5386,1343,John,Chó,Ta,2021-06-26,Nữ,Khỏe
5387,8774,Jane,Chó,Ta,2023-10-24,Nam,Khỏe
5388,25843,Jane,Mèo,Ta,2024-06-24,Nam,Khỏe
5389,19034,Jane,Mèo,Ta,2022-12-22,Nữ,Khỏe
5390,5932,Jane,Chó,Ta,2020-03-22,Nam,Khỏe
5391,7538,Jane,Chó,Ta,2024-05-25,Nam,Khỏe
5392,7374,John,Chó,Ta,2020-05-12,Nữ,Khỏe
5393,21847,Jane,Chó,Ta,2022-04-06,Nữ,Khỏe
5394,13696,John,Mèo,Ta,2020-03-31,Nam,Khỏe
5395,9181,Jane,Chó,Ta,2023-05-10,Nữ,Khỏe
5396,22454,Jane,Chó,Ta,2020-08-23,Nữ,Khỏe
5397,18826,John,Mèo,Ta,2024-10-23,Nam,Khỏe
5398,2444,John,Chó,Ta,2021-12-01,Nam,Khỏe
5399,15878,Jane,Chó,Ta,2021-07-04,Nam,Khỏe
5400,9580,John,Chó,Ta,2023-05-10,Nữ,Khỏe
5401,22003,Jane,Mèo,Ta,2021-03-12,Nữ,Khỏe
5402,3870,John,Chó,Ta,2023-03-24,Nam,Khỏe
5403,26801,John,Mèo,Ta,2020-11-13,Nam,Khỏe
5404,14978,Jane,Mèo,Ta,2024-08-05,Nữ,Khỏe
5405,10511,John,Chó,Ta,2023-11-08,Nam,Khỏe
5406,6662,John,Mèo,Ta,2023-10-20,Nữ,Khỏe
5407,10578,Jane,Mèo,Ta,2020-04-29,Nữ,Khỏe
5408,10358,John,Mèo,Ta,2022-04-03,Nam,Khỏe
5409,16662,Jane,Chó,Ta,2020-09-24,Nam,Khỏe
5410,2512,Jane,Chó,Ta,2020-07-13,Nam,Khỏe
5411,3756,John,Mèo,Ta,2022-05-27,Nam,Khỏe
5412,4423,John,Chó,Ta,2023-06-22,Nam,Khỏe
5413,10973,Jane,Chó,Ta,2022-09-14,Nữ,Khỏe
5414,10730,John,Mèo,Ta,2021-08-03,Nữ,Khỏe
5415,779,Jane,Chó,Ta,2022-05-28,Nữ,Khỏe
5416,17154,John,Chó,Ta,2024-03-31,Nam,Khỏe
5417,18236,Jane,Mèo,Ta,2023-01-07,Nam,Khỏe
5418,26214,John,Chó,Ta,2024-10-09,Nam,Khỏe
5419,23286,Jane,Mèo,Ta,2020-01-03,Nam,Khỏe
5420,7059,Jane,Mèo,Ta,2024-11-07,Nữ,Khỏe
5421,7149,John,Chó,Ta,2024-08-26,Nữ,Khỏe
5422,17620,John,Mèo,Ta,2022-03-26,Nam,Khỏe
5423,28499,Jane,Chó,Ta,2020-08-16,Nữ,Khỏe
5424,29171,Jane,Chó,Ta,2022-08-01,Nữ,Khỏe
5425,19778,John,Mèo,Ta,2024-11-13,Nam,Khỏe
