MADK,MAGT,MATC,NGAYDANGKY,NGAYHETHAN,SOMUIDATIEM
5476,20,7605,2023-04-26,,0
5477,1,15195,2022-08-13,,2
5478,14,34745,2024-12-31,,2
5479,2,25332,2022-06-09,,5
5480,9,31565,2024-01-08,,3
5481,6,39356,2024-06-10,,0
5482,16,25993,2022-10-03,,4
5483,5,28222,2024-07-28,,2
5484,20,37968,2024-07-12,,4
5485,12,17229,2023-03-28,,1
5486,8,18354,2023-04-17,,5
5487,17,33791,2023-07-08,,0
5488,16,21212,2024-12-30,,0
5489,4,31459,2022-06-22,,0
5490,15,9300,2023-12-14,,0
5491,5,25560,2023-04-04,,2
5492,2,2124,2022-02-13,,1
5493,10,22363,2022-05-25,,4
5494,2,12207,2022-12-01,,1
5495,15,22998,2024-04-13,,3
5496,13,23703,2022-06-24,,0
5497,20,36282,2022-05-17,,2
5498,15,30373,2024-09-30,,3
5499,14,11353,2022-08-13,,3
5500,20,24338,2022-10-13,,3
5501,5,14452,2024-09-17,,2
5502,19,21703,2022-12-01,,2
5503,14,2474,2022-12-17,,4
5504,9,20795,2023-12-23,,3
5505,19,26133,2023-05-21,,4
5506,19,39002,2024-07-20,,2
5507,16,1760,2022-05-18,,2
5508,18,18944,2024-09-19,,1
5509,13,7356,2024-10-03,,0
5510,13,36055,2023-05-09,,3
5511,17,27788,2022-03-19,,4
5512,5,21821,2024-03-10,,3
5513,18,41033,2024-06-21,,5
5514,12,40899,2024-04-11,,3
5515,19,11646,2022-07-21,,0
5516,14,757,2022-12-19,,4
5517,20,32403,2023-03-20,,1
5518,12,35526,2023-11-16,,5
5519,10,41595,2024-03-12,,0
5520,5,23386,2024-03-01,,3
5521,12,27011,2024-02-05,,4
5522,13,42020,2022-11-20,,0
5523,18,15972,2023-06-16,,1
5524,2,41704,2024-11-16,,5
5525,14,19104,2024-09-11,,3
5526,20,2017,2024-07-15,,3
5527,2,17823,2022-12-15,,2
5528,1,3148,2022-10-30,,0
5529,17,35379,2023-08-16,,0
5530,10,38844,2024-04-18,,4
5531,17,20651,2023-12-31,,4
5532,8,22201,2023-03-02,,0
5533,5,9946,2024-04-09,,4
5534,10,27762,2023-03-05,,3
5535,17,26713,2023-05-09,,4
5536,7,38222,2022-07-27,,5
5537,5,37985,2023-01-01,,0
5538,4,13215,2022-02-09,,3
5539,9,22010,2024-03-28,,0
5540,18,22721,2022-03-18,,1
5541,6,15130,2023-12-15,,1
5542,15,21701,2023-12-18,,3
5543,16,27928,2022-12-13,,4
5544,15,9767,2024-02-17,,5
5545,5,15710,2023-01-09,,2
5546,3,426,2024-07-09,,1
5547,16,5885,2022-06-06,,1
5548,5,32816,2024-09-24,,2
5549,14,39349,2022-10-13,,1
5550,3,27891,2022-01-05,,4
5551,17,4665,2023-06-11,,3
5552,13,14313,2023-12-04,,5
5553,4,9824,2024-04-10,,4
5554,5,40874,2022-06-26,,1
5555,4,37286,2024-09-28,,2
5556,4,41204,2024-02-12,,4
5557,10,23461,2023-06-20,,0
5558,5,44747,2024-01-29,,5
5559,16,33335,2022-06-13,,3
5560,2,17919,2023-05-10,,4
5561,14,35869,2022-05-10,,5
5562,12,20393,2024-09-16,,0
5563,9,1407,2022-07-18,,3
5564,3,24095,2022-01-11,,1
5565,20,4593,2024-12-31,,4
5566,7,19855,2023-02-15,,0
5567,18,23611,2023-05-13,,4
5568,19,17219,2023-01-17,,2
5569,13,24612,2024-07-20,,5
5570,17,29698,2024-03-21,,3
5571,3,19854,2024-12-31,,4
5572,11,15329,2022-10-09,,4
5573,5,15534,2024-10-17,,0
5574,12,35218,2024-02-04,,3
5575,9,5869,2023-07-12,,0
5576,3,41258,2022-11-07,,3
5577,1,5978,2024-09-26,,3
5578,4,8605,2023-05-05,,1
5579,19,20320,2022-06-01,,1
5580,14,18560,2023-05-20,,0
5581,15,37102,2024-06-06,,3
5582,3,34649,2022-08-02,,3
5583,13,17999,2024-11-24,,5
5584,6,16966,2022-11-21,,1
5585,5,24197,2022-11-22,,4
5586,1,18011,2023-03-15,,0
5587,10,34430,2024-11-20,,5
5588,13,38974,2024-07-10,,5
5589,16,26811,2022-12-08,,3
5590,16,4465,2024-10-24,,5
5591,9,7085,2023-10-18,,3
5592,14,18416,2023-06-28,,1
5593,1,41167,2024-04-13,,5
5594,20,3013,2023-02-07,,2
5595,20,11527,2023-07-21,,5
5596,12,16142,2024-10-25,,4
5597,2,33507,2023-03-30,,4
5598,4,26558,2022-10-18,,3
5599,14,27270,2024-02-22,,5
5600,9,14968,2024-03-16,,2
5601,19,8948,2024-05-15,,4
5602,15,19741,2022-07-29,,2
5603,2,32659,2023-06-11,,1
5604,9,35117,2024-09-25,,0
5605,1,37671,2024-03-13,,0
5606,11,932,2024-02-16,,5
5607,11,36673,2022-01-21,,5
5608,7,8965,2023-05-29,,1
5609,1,38321,2024-08-08,,5
5610,7,15103,2022-06-11,,4
5611,15,21740,2024-07-14,,4
5612,12,25561,2024-10-02,,5
5613,10,42229,2023-04-08,,0
5614,15,17448,2024-05-27,,0
5615,12,31837,2022-04-27,,5
5616,16,22431,2024-05-28,,4
5617,16,24896,2023-07-15,,5
5618,7,3543,2022-05-11,,3
5619,6,8719,2023-01-15,,3
5620,11,2267,2023-01-25,,5
5621,14,21153,2023-01-25,,0
5622,19,6708,2022-10-09,,4
5623,9,16711,2024-11-27,,2
5624,10,12322,2024-07-02,,2
5625,13,31569,2022-03-13,,3
5626,1,28936,2024-12-22,,2
5627,11,37775,2022-06-11,,0
5628,9,13965,2023-12-17,,4
5629,14,18762,2023-07-30,,0
5630,2,36449,2023-04-09,,3
5631,18,31932,2022-05-31,,3
5632,1,42846,2022-09-22,,2
5633,4,13850,2022-02-27,,5
5634,1,43980,2022-02-04,,3
5635,12,10720,2024-11-09,,5
5636,16,728,2023-02-25,,4
5637,2,2780,2023-09-02,,4
5638,6,5157,2023-01-19,,3
5639,3,2060,2024-04-25,,4
5640,20,8208,2023-10-06,,1
5641,15,21160,2024-12-17,,3
5642,14,26888,2024-03-15,,1
5643,14,37648,2023-05-05,,5
5644,5,32914,2023-03-31,,5
5645,10,42614,2022-12-01,,3
5646,14,26527,2022-12-16,,5
5647,4,42690,2022-11-23,,0
5648,1,10785,2023-07-01,,4
5649,9,26909,2022-07-11,,3
5650,15,39192,2024-09-02,,5
5651,14,42436,2023-02-06,,4
5652,1,37003,2023-10-07,,2
5653,9,29307,2022-03-01,,1
5654,18,9281,2022-07-26,,0
5655,8,2079,2023-05-23,,5
5656,6,30261,2023-11-30,,4
5657,13,13692,2022-04-06,,3
5658,10,30877,2023-03-24,,5
5659,13,6209,2024-10-24,,2
5660,11,6021,2023-02-12,,1
5661,9,24600,2022-06-17,,4
5662,19,13511,2023-12-08,,5
5663,1,26888,2024-01-17,,2
5664,10,25041,2024-09-13,,0
5665,6,15757,2022-02-02,,2
5666,13,42396,2024-10-31,,1
5667,4,20094,2024-07-02,,5
5668,9,24027,2022-01-24,,3
5669,17,14962,2022-03-18,,1
5670,10,1782,2023-01-02,,1
5671,2,41871,2024-01-28,,4
5672,4,2927,2024-08-02,,4
5673,17,7196,2022-07-01,,5
5674,7,2712,2022-04-01,,5
5675,2,39853,2024-09-20,,1
5676,8,27203,2024-12-16,,3
5677,10,9930,2022-02-02,,3
5678,7,9461,2023-02-14,,0
5679,13,16937,2022-01-13,,1
5680,20,38259,2024-09-20,,3
5681,20,16496,2022-01-03,,4
5682,8,27217,2024-12-06,,2
5683,16,30039,2023-10-08,,4
5684,17,30880,2023-04-13,,2
5685,11,5391,2023-06-19,,2
5686,4,41456,2022-05-12,,3
5687,13,39828,2022-04-28,,5
5688,18,14004,2023-10-21,,3
5689,1,17345,2023-11-17,,3
5690,3,42552,2023-11-22,,4
5691,10,3056,2022-08-04,,4
5692,3,17850,2022-08-12,,4
5693,3,30630,2024-10-13,,3
5694,2,7690,2022-12-13,,0
5695,18,32061,2022-07-29,,1
5696,5,40206,2024-06-28,,2
5697,11,14790,2022-11-21,,2
5698,6,27376,2024-05-13,,3
5699,3,32186,2024-05-31,,5
5700,7,6756,2022-05-11,,2
5701,19,9790,2023-05-03,,5
5702,17,19008,2024-01-28,,2
5703,17,17145,2023-12-08,,3
5704,3,6873,2022-09-05,,0
5705,16,8463,2022-07-16,,3
5706,8,43957,2024-03-23,,5
5707,1,26292,2024-03-28,,5
5708,9,26025,2024-06-17,,2
5709,1,491,2024-10-26,,5
5710,1,25551,2022-07-19,,3
5711,1,36099,2024-07-18,,2
5712,1,21726,2024-09-23,,2
5713,1,17542,2022-05-28,,4
5714,17,35647,2022-05-01,,0
5715,8,19744,2024-05-18,,2
5716,4,24281,2024-04-01,,2
5717,12,2313,2024-01-03,,2
5718,11,21593,2022-10-25,,0
5719,5,37696,2024-12-05,,2
5720,11,5487,2024-04-23,,1
5721,15,16373,2024-07-02,,1
5722,8,2835,2022-12-23,,1
5723,6,11979,2022-01-23,,2
5724,8,31769,2023-10-28,,2
5725,10,28822,2024-10-20,,4
5726,7,34533,2024-07-13,,4
5727,8,37287,2024-01-12,,0
5728,8,13547,2024-05-13,,2
5729,13,29781,2023-03-15,,5
5730,4,22272,2024-06-27,,1
5731,12,40789,2024-05-24,,0
5732,14,23701,2024-09-11,,5
5733,14,8213,2022-06-11,,1
5734,2,28254,2023-10-25,,0
5735,9,14457,2023-05-18,,0
5736,5,10169,2024-11-19,,4
5737,6,12797,2024-11-15,,2
5738,13,44216,2022-04-08,,2
5739,8,38180,2022-11-08,,2
5740,4,43073,2023-02-19,,0
5741,13,952,2023-05-23,,3
5742,12,27485,2023-11-02,,0
5743,4,8720,2023-02-24,,4
5744,11,35608,2023-06-24,,5
5745,10,30679,2024-07-06,,3
5746,6,19347,2023-03-02,,1
5747,11,9927,2024-03-31,,1
5748,7,3956,2023-10-23,,0
5749,4,9936,2022-05-12,,5
5750,1,15862,2022-08-01,,2
5751,1,13050,2024-04-06,,0
5752,8,42518,2024-10-30,,1
5753,9,119,2022-03-11,,5
5754,12,10016,2024-02-08,,2
5755,5,7907,2023-06-27,,2
5756,11,42017,2022-07-06,,2
5757,5,31378,2023-07-02,,0
5758,3,14626,2022-05-23,,5
5759,11,20391,2023-11-06,,1
5760,7,27065,2022-08-16,,4
5761,12,5733,2022-04-08,,2
5762,12,41834,2023-09-22,,2
5763,7,41713,2023-09-22,,4
5764,12,1789,2022-09-29,,4
5765,7,13374,2023-02-17,,5
5766,11,24104,2022-03-13,,4
5767,9,1498,2022-10-21,,3
5768,5,28979,2022-06-11,,5
5769,2,43464,2024-03-27,,1
5770,19,42332,2022-12-27,,5
5771,13,8571,2024-06-12,,2
5772,11,21196,2024-02-20,,0
5773,17,13813,2022-09-12,,5
5774,16,15109,2022-08-24,,5
5775,15,11877,2024-10-05,,4
5776,9,7071,2022-10-06,,3
5777,8,12116,2022-04-30,,2
5778,10,42424,2024-06-04,,3
5779,11,32982,2023-01-23,,1
5780,3,23458,2024-05-11,,0
5781,8,13202,2022-06-28,,0
5782,9,26411,2022-07-18,,0
5783,15,37388,2024-02-04,,3
5784,13,13505,2024-07-16,,1
5785,2,28956,2024-08-15,,2
5786,20,3550,2022-07-21,,0
5787,19,16955,2023-06-06,,5
5788,18,8620,2023-04-14,,5
5789,1,40188,2024-07-01,,0
5790,19,21627,2022-12-24,,4
5791,6,24458,2022-01-04,,3
5792,17,43570,2023-03-20,,3
5793,10,19049,2023-01-24,,2
5794,3,39243,2023-04-06,,4
5795,2,23829,2024-08-03,,5
5796,13,27607,2023-04-12,,3
5797,15,36672,2022-08-17,,5
5798,7,14677,2022-05-03,,3
5799,14,34206,2024-09-22,,4
5800,19,14194,2022-03-20,,2
5801,3,8909,2024-08-25,,2
5802,16,40522,2022-06-15,,2
5803,5,30882,2022-09-24,,1
5804,1,21576,2023-06-14,,5
5805,10,21523,2022-08-14,,5
5806,1,6808,2023-11-12,,2
5807,19,9356,2023-05-15,,0
5808,3,9090,2022-07-24,,1
5809,5,9741,2022-08-24,,1
5810,5,29700,2023-11-05,,4
5811,19,8938,2022-02-22,,3
5812,17,42929,2024-04-26,,4
5813,3,9123,2023-07-18,,5
5814,19,15751,2022-09-14,,0
5815,9,34071,2023-04-12,,3
5816,16,27780,2022-01-25,,3
5817,4,34211,2022-03-03,,4
5818,11,24907,2024-08-06,,4
5819,20,2409,2023-03-26,,2
5820,9,41782,2024-08-25,,0
5821,19,35304,2022-01-26,,0
5822,12,31237,2023-05-24,,5
5823,4,21195,2023-11-09,,0
5824,16,22264,2022-02-19,,1
5825,10,574,2022-09-06,,3
5826,20,20274,2023-03-08,,2
5827,11,7558,2024-09-24,,5
5828,14,22329,2024-02-25,,3
5829,18,43887,2023-03-01,,0
5830,18,30851,2023-09-09,,5
5831,3,40801,2024-10-31,,5
5832,18,20864,2022-02-15,,0
5833,17,32397,2024-05-27,,1
5834,5,12817,2022-04-07,,3
5835,9,19810,2022-02-24,,4
5836,9,27121,2023-06-11,,4
5837,2,31606,2022-10-18,,1
5838,3,14398,2024-05-17,,3
5839,20,26349,2022-05-27,,4
5840,6,43151,2022-08-18,,4
5841,1,31626,2022-02-13,,5
5842,12,23315,2024-01-16,,4
5843,8,25670,2024-01-16,,5
5844,17,12764,2023-07-24,,3
5845,12,21557,2023-07-12,,4
5846,14,14088,2023-04-04,,2
5847,19,15582,2022-04-07,,5
5848,3,38748,2024-05-22,,4
5849,13,24699,2024-08-05,,0
5850,13,3654,2023-04-30,,3
5851,10,36324,2024-08-13,,3
5852,9,23511,2024-09-23,,3
5853,4,898,2023-11-28,,5
5854,16,22832,2024-06-14,,3
5855,15,32703,2022-01-23,,1
5856,19,8897,2023-03-31,,5
5857,4,26346,2023-11-08,,2
5858,16,41117,2023-06-14,,4
5859,12,22305,2024-11-03,,1
5860,16,12686,2024-08-30,,2
5861,16,10673,2023-09-28,,2
5862,3,23769,2023-05-21,,2
5863,1,24937,2022-07-07,,4
5864,3,26273,2022-05-14,,5
5865,14,30017,2022-01-24,,1
5866,12,18183,2023-01-01,,3
5867,7,40729,2022-02-12,,5
5868,10,43285,2022-06-21,,5
5869,14,182,2022-08-14,,0
5870,4,1244,2024-10-23,,0
5871,11,41810,2023-08-31,,0
5872,6,28554,2022-02-22,,1
5873,14,43356,2022-03-11,,3
5874,8,27123,2024-08-09,,2
5875,3,34352,2022-06-12,,5
5876,5,30360,2023-04-23,,1
5877,13,35542,2023-04-24,,0
5878,11,36781,2022-10-10,,2
5879,9,1346,2022-01-11,,0
5880,7,5745,2024-03-31,,4
5881,17,11966,2022-08-12,,1
5882,9,44396,2023-05-31,,1
5883,4,12587,2024-04-25,,3
5884,3,36621,2023-09-24,,2
5885,20,32570,2022-12-09,,4
5886,9,39136,2023-02-05,,3
5887,3,35467,2024-04-15,,3
5888,10,36789,2023-11-08,,2
5889,17,12577,2024-05-14,,5
5890,17,44362,2024-09-29,,2
5891,12,4582,2022-03-26,,3
5892,12,35341,2024-10-09,,1
5893,7,30112,2022-08-19,,5
5894,18,44851,2022-03-02,,0
5895,1,41338,2023-05-24,,2
5896,5,8084,2023-06-15,,0
5897,18,18695,2023-07-01,,5
5898,3,17817,2024-01-15,,0
5899,16,20068,2023-04-05,,5
5900,8,36488,2023-01-29,,0
5901,11,1007,2023-06-30,,0
5902,13,22510,2022-04-28,,5
5903,7,16857,2024-10-11,,1
5904,5,42694,2024-12-17,,0
5905,15,10192,2023-10-24,,2
5906,14,9146,2023-06-01,,4
5907,16,6433,2022-04-21,,5
5908,16,15253,2022-06-30,,2
5909,17,1629,2023-10-30,,1
5910,5,2634,2023-12-04,,4
5911,13,39925,2022-07-01,,3
5912,15,701,2023-03-24,,0
5913,4,5713,2024-01-15,,0
5914,15,11824,2023-03-09,,5
5915,4,41133,2024-10-16,,0
5916,14,29093,2022-11-29,,4
5917,16,30844,2022-11-11,,1
5918,3,11953,2024-08-24,,2
5919,19,21487,2023-09-09,,4
5920,9,20208,2022-06-03,,4
5921,6,11153,2022-05-30,,3
5922,13,24107,2023-05-01,,2
5923,9,43679,2022-05-10,,5
5924,1,27329,2022-10-05,,3
5925,5,30746,2022-09-17,,3
5926,15,12493,2024-10-13,,5
5927,1,43494,2022-03-22,,2
5928,8,20812,2022-02-01,,1
5929,19,39089,2023-09-02,,3
5930,17,3170,2023-09-14,,4
5931,11,32074,2023-10-29,,4
5932,3,36440,2023-06-06,,3
5933,7,30212,2024-12-20,,3
5934,20,16135,2023-08-27,,4
5935,5,29762,2023-05-07,,0
5936,16,19431,2023-04-23,,0
5937,2,43939,2022-06-20,,1
5938,2,40610,2023-02-19,,5
5939,18,31125,2023-02-09,,3
5940,3,12437,2024-04-15,,1
5941,10,26536,2022-01-24,,5
5942,5,16402,2024-02-13,,0
5943,16,44308,2024-12-10,,4
5944,9,820,2023-11-14,,5
5945,4,20638,2023-11-12,,2
5946,18,43884,2024-03-01,,1
5947,20,38433,2023-10-28,,1
5948,1,33495,2024-08-09,,4
5949,9,3753,2022-10-30,,2
5950,15,21097,2023-04-26,,5
5951,18,30270,2024-10-24,,1
5952,10,27276,2023-10-14,,5
5953,16,26566,2023-11-28,,5
5954,3,12654,2023-09-23,,0
5955,19,15905,2022-12-03,,4
5956,1,36141,2022-09-23,,4
5957,16,10319,2024-11-09,,1
5958,9,36495,2024-05-22,,2
5959,20,39486,2024-07-30,,3
5960,20,22085,2024-06-17,,4
5961,11,38268,2022-08-08,,5
5962,11,17640,2024-07-25,,3
5963,4,43587,2022-06-19,,4
5964,17,33874,2022-07-06,,0
5965,3,4705,2023-03-04,,1
5966,16,29639,2022-04-26,,2
5967,8,29727,2023-02-18,,2
5968,19,19160,2023-08-14,,3
5969,17,29655,2024-10-24,,2
5970,2,29918,2024-04-15,,3
5971,16,13920,2022-11-08,,4
5972,15,16924,2022-05-12,,3
5973,20,9867,2024-09-24,,2
5974,10,22900,2024-08-21,,5
5975,3,25723,2024-10-13,,2
5976,12,16657,2023-05-25,,1
5977,10,24624,2022-09-12,,4
5978,17,19105,2023-04-10,,2
5979,11,17903,2022-01-23,,3
5980,15,38564,2023-08-08,,0
5981,6,10956,2023-03-27,,1
5982,6,4088,2022-12-23,,5
5983,17,28957,2022-05-30,,5
5984,11,21502,2023-07-26,,5
5985,9,13860,2022-12-12,,5
5986,12,42616,2024-05-13,,3
5987,20,18194,2024-07-19,,4
5988,6,7079,2024-12-30,,1
5989,2,35794,2023-09-29,,2
5990,14,35571,2023-11-26,,0
5991,7,16761,2024-07-09,,2
5992,18,13389,2023-09-15,,2
5993,1,514,2024-04-28,,3
5994,7,40419,2024-10-16,,4
5995,20,2665,2024-06-07,,0
5996,7,26895,2022-01-26,,1
5997,20,27148,2022-03-30,,3
5998,12,36693,2023-07-09,,5
5999,14,24080,2023-08-27,,0
6000,1,3857,2022-09-04,,5
6001,9,24396,2022-04-06,,0
6002,2,23948,2022-05-22,,0
6003,6,21254,2024-08-09,,0
6004,3,44065,2024-12-08,,3
6005,1,26247,2023-05-05,,3
6006,15,20339,2022-06-17,,1
6007,9,29876,2023-08-19,,3
6008,7,27241,2022-03-20,,4
6009,17,43659,2024-04-04,,5
6010,10,12050,2023-10-27,,4
6011,7,3412,2022-09-04,,5
6012,13,11427,2024-11-11,,5
6013,10,5598,2024-06-11,,4
6014,19,39179,2023-08-03,,4
6015,4,19895,2024-05-12,,5
6016,4,29906,2024-10-11,,0
6017,12,11954,2022-02-01,,5
6018,16,39866,2024-12-08,,0
6019,8,14891,2024-04-30,,3
6020,15,1268,2023-07-29,,3
6021,10,20462,2023-11-05,,2
6022,13,30585,2023-11-30,,1
6023,4,34207,2024-07-24,,0
6024,3,11697,2024-12-27,,3
6025,20,1496,2024-03-17,,4
6026,13,41847,2023-06-12,,5
6027,15,35797,2024-07-18,,5
6028,17,36877,2024-03-04,,3
6029,13,13434,2023-02-26,,3
6030,9,42812,2023-10-03,,2
6031,2,16353,2024-06-10,,0
6032,13,18664,2024-02-10,,4
6033,4,21907,2022-08-31,,2
6034,14,42471,2023-01-01,,3
6035,13,39122,2024-10-14,,3
6036,6,20616,2024-01-04,,1
6037,12,16476,2024-10-25,,3
6038,8,38131,2024-01-13,,0
6039,15,22930,2023-11-13,,4
6040,2,35031,2023-07-10,,4
6041,2,29961,2022-05-13,,3
6042,11,44182,2023-11-22,,4
6043,5,31556,2024-08-15,,1
6044,6,38652,2022-06-14,,2
6045,1,44856,2024-07-28,,3
6046,17,21855,2024-01-27,,1
6047,12,12,2022-05-23,,3
6048,7,21222,2022-10-21,,4
6049,15,29496,2023-02-27,,2
6050,17,20043,2023-09-06,,2
6051,17,38720,2023-07-02,,3
6052,19,43301,2023-12-27,,3
6053,11,34883,2024-03-11,,5
6054,5,33843,2024-05-04,,2
6055,15,13108,2022-12-22,,0
6056,8,15840,2024-08-25,,1
6057,1,20517,2023-05-29,,3
6058,6,115,2023-07-22,,2
6059,11,22850,2022-03-03,,1
6060,6,40106,2022-07-20,,2
6061,16,1163,2024-04-19,,1
6062,4,24045,2024-01-16,,4
6063,7,3711,2022-01-30,,3
6064,11,39318,2022-08-04,,0
6065,10,36973,2023-07-20,,1
6066,18,41591,2024-10-29,,0
6067,13,38709,2022-10-19,,4
6068,3,41273,2023-07-24,,5
6069,11,11862,2022-05-06,,1
6070,15,235,2023-08-16,,1
6071,2,24480,2022-04-06,,2
6072,14,28502,2023-01-03,,0
6073,15,37079,2023-04-11,,2
6074,12,41318,2023-10-01,,0
6075,4,17708,2024-10-07,,4
6076,2,10475,2023-03-08,,5
6077,15,4226,2023-03-31,,0
6078,12,7499,2022-06-24,,3
6079,1,11301,2023-04-22,,3
6080,12,10641,2023-06-28,,3
6081,15,43562,2022-08-30,,0
6082,8,10437,2022-02-16,,5
6083,5,7506,2023-03-15,,4
6084,15,13485,2022-12-13,,2
6085,5,32678,2022-01-16,,1
6086,16,17091,2023-02-18,,4
6087,9,12111,2024-12-16,,3
6088,10,37746,2024-02-14,,0
6089,16,1939,2024-10-01,,3
6090,10,9633,2024-12-11,,3
6091,19,20095,2022-06-16,,5
6092,3,44517,2023-11-04,,3
6093,3,36807,2022-10-25,,5
6094,8,42969,2023-12-03,,1
6095,5,8946,2022-02-09,,2
6096,10,37187,2023-03-16,,2
6097,6,13002,2023-10-12,,0
6098,13,33101,2024-02-23,,3
6099,1,41280,2023-12-04,,2
6100,13,35001,2023-06-19,,0
6101,6,2980,2023-05-28,,0
6102,4,20292,2022-12-16,,2
6103,13,43063,2023-10-13,,4
6104,15,43868,2024-08-16,,4
6105,4,41959,2024-04-13,,2
6106,10,14981,2023-08-31,,2
6107,20,20945,2022-06-23,,4
6108,19,12649,2022-08-11,,1
6109,15,21321,2022-09-15,,1
6110,10,27218,2023-06-10,,1
6111,9,10266,2024-10-08,,1
6112,18,11557,2022-05-27,,5
6113,4,44122,2024-03-27,,1
6114,7,28345,2023-05-31,,5
6115,11,5201,2022-06-09,,3
6116,5,19277,2024-10-21,,2
6117,4,13319,2022-08-16,,4
6118,1,26730,2023-04-12,,0
6119,15,14008,2022-05-08,,3
6120,20,2427,2024-06-27,,3
6121,15,6193,2022-12-04,,1
6122,7,29756,2022-07-06,,5
6123,7,468,2023-03-20,,2
6124,16,913,2022-08-31,,5
6125,4,28640,2022-04-04,,0
6126,1,24599,2023-03-13,,4
6127,1,7967,2022-06-17,,5
6128,10,12873,2022-03-07,,5
6129,10,11121,2023-01-14,,3
6130,10,34108,2022-11-29,,2
6131,4,13889,2024-04-03,,0
6132,12,43466,2024-12-05,,4
6133,7,14350,2023-01-01,,3
6134,10,40491,2022-09-24,,0
6135,9,20759,2023-11-05,,1
6136,11,28336,2023-11-23,,1
6137,18,31275,2022-01-08,,3
6138,15,5214,2023-11-28,,5
6139,2,42078,2024-09-18,,2
6140,13,43922,2024-12-11,,1
6141,7,28521,2022-05-25,,3
6142,19,18597,2022-10-06,,5
6143,4,17284,2023-03-13,,5
6144,13,39125,2023-10-09,,3
6145,15,38653,2024-06-13,,3
6146,9,11881,2024-03-29,,3
6147,20,24628,2024-06-25,,1
6148,1,39242,2024-10-18,,4
6149,4,30479,2024-11-28,,4
6150,10,11803,2022-12-02,,2
6151,16,37379,2024-06-24,,2
6152,18,512,2024-02-06,,0
6153,16,40365,2022-07-14,,0
6154,19,31922,2024-09-04,,0
6155,2,41268,2024-12-30,,2
6156,16,26998,2023-10-06,,5
6157,12,2592,2023-02-24,,5
6158,19,25328,2024-05-17,,4
6159,13,39243,2022-07-14,,2
6160,2,27416,2022-08-03,,5
6161,6,28149,2023-05-25,,0
6162,3,5200,2024-05-23,,5
6163,18,2498,2022-02-01,,3
6164,14,21970,2022-08-12,,0
6165,8,42180,2024-11-16,,0
6166,17,28829,2023-11-16,,4
6167,14,654,2023-05-31,,2
6168,3,14644,2023-08-25,,1
6169,15,780,2022-09-18,,4
6170,4,41291,2022-08-08,,1
6171,10,29111,2023-07-26,,1
6172,12,5879,2024-12-07,,1
6173,19,14010,2023-10-12,,2
6174,6,14399,2024-12-14,,5
6175,10,16405,2022-12-15,,4
6176,12,3929,2023-10-10,,1
6177,11,8046,2022-07-20,,1
6178,19,39144,2024-07-02,,1
6179,19,7373,2022-09-18,,1
6180,15,20270,2022-04-17,,1
6181,14,11733,2022-08-30,,0
6182,13,11037,2024-10-23,,1
6183,13,19002,2023-11-27,,4
6184,18,32157,2023-02-19,,5
6185,7,10695,2023-02-09,,3
6186,19,36479,2023-08-23,,3
6187,1,43519,2022-11-01,,0
6188,2,31170,2023-06-12,,3
6189,14,42050,2022-06-23,,0
6190,8,26174,2024-06-18,,0
6191,9,19679,2023-08-20,,2
6192,20,5991,2024-08-29,,3
6193,9,20468,2024-05-19,,3
6194,16,23988,2024-01-27,,1
6195,20,32998,2022-01-18,,5
6196,19,17372,2024-09-19,,1
6197,19,14112,2022-02-05,,3
6198,7,19902,2023-10-27,,0
6199,1,39405,2023-01-08,,5
6200,18,39096,2022-09-30,,0
6201,8,843,2023-05-27,,1
6202,20,39296,2024-04-10,,2
6203,20,17664,2023-05-15,,3
6204,9,18149,2022-07-14,,4
6205,8,29237,2022-03-19,,1
6206,16,5643,2023-02-06,,4
6207,7,39218,2022-09-22,,4
6208,12,16317,2023-12-22,,2
6209,4,22132,2024-12-18,,5
6210,14,16975,2023-11-21,,0
6211,11,29051,2023-05-31,,0
6212,2,16841,2022-02-28,,0
6213,16,31687,2023-05-27,,0
6214,18,37546,2022-12-23,,0
6215,7,5116,2022-04-01,,4
6216,16,36256,2022-06-14,,1
6217,10,21550,2024-01-13,,0
6218,5,3666,2022-08-24,,2
6219,18,38913,2024-02-16,,2
6220,4,29151,2023-11-26,,3
6221,12,2966,2023-12-20,,5
6222,13,22028,2024-07-11,,2
6223,3,9943,2024-07-28,,4
6224,15,34371,2024-12-24,,5
6225,9,13394,2024-05-18,,2
6226,18,25740,2022-07-25,,3
6227,8,7886,2022-12-08,,2
6228,10,24342,2022-05-20,,5
6229,4,21531,2023-05-08,,3
6230,9,7468,2024-07-20,,1
6231,20,44615,2023-05-25,,5
6232,20,24569,2023-04-28,,4
6233,2,20394,2023-05-03,,2
6234,8,32889,2022-03-29,,4
6235,20,37674,2024-10-02,,0
6236,12,6572,2022-06-20,,1
6237,3,22838,2023-01-15,,3
6238,1,12900,2024-04-03,,5
6239,17,41422,2022-03-07,,5
6240,17,34791,2022-04-25,,5
6241,15,23324,2023-01-30,,1
6242,4,42104,2024-02-20,,1
6243,7,15248,2024-11-15,,0
6244,5,35524,2022-09-15,,5
6245,7,36375,2023-05-18,,1
6246,2,36018,2022-12-09,,5
6247,5,37660,2023-10-20,,2
6248,1,19289,2022-12-03,,3
6249,18,13863,2022-03-05,,3
6250,8,41551,2022-06-06,,3
6251,12,4930,2022-11-29,,3
