MADG,MATK,DIEMDG,THAIDONV,MUCDOHAILONG,BINHLUAN
14703,18393,1,9,2,Dịch vụ tốt
14704,21630,1,9,8,Dịch vụ tốt
14705,29231,5,6,6,Dịch vụ tốt
14706,23061,6,1,5,Dịch vụ tốt
14707,1388,5,9,9,Dịch vụ tốt
14708,24525,10,7,4,Dịch vụ tốt
14709,8084,2,2,6,Dịch vụ tốt
14710,17840,10,5,5,Dịch vụ tốt
14711,18283,1,1,8,Dịch vụ tốt
14712,25003,9,4,6,Dịch vụ tốt
14713,16679,2,6,10,Dịch vụ tốt
14714,10724,2,10,9,Dịch vụ tốt
14715,25663,7,10,7,Dịch vụ tốt
14716,9868,6,6,10,Dịch vụ tốt
14717,3621,10,8,4,Dịch vụ tốt
14718,5977,10,7,1,Dịch vụ tốt
14719,7586,7,1,3,Dịch vụ tốt
14720,13969,8,3,5,Dịch vụ tốt
14721,3695,4,3,2,Dịch vụ tốt
14722,10015,1,2,9,Dịch vụ tốt
14723,1718,5,10,7,Dịch vụ tốt
14724,29030,9,8,8,Dịch vụ tốt
14725,21170,5,1,10,Dịch vụ tốt
14726,6628,6,1,7,Dịch vụ tốt
14727,3248,3,3,1,Dịch vụ tốt
14728,24603,9,8,3,Dịch vụ tốt
14729,17774,10,6,5,Dịch vụ tốt
14730,5032,3,8,9,Dịch vụ tốt
14731,15018,10,7,3,Dịch vụ tốt
14732,10662,4,3,1,Dịch vụ tốt
14733,13529,5,9,5,Dịch vụ tốt
14734,1432,4,5,1,Dịch vụ tốt
14735,6325,1,9,6,Dịch vụ tốt
14736,8035,3,4,5,Dịch vụ tốt
14737,20501,10,1,4,Dịch vụ tốt
14738,29095,8,8,8,Dịch vụ tốt
14739,17350,7,8,4,Dịch vụ tốt
14740,4476,2,7,2,Dịch vụ tốt
14741,8400,1,8,7,Dịch vụ tốt
14742,10803,7,7,10,Dịch vụ tốt
14743,1140,2,6,5,Dịch vụ tốt
14744,14704,5,5,10,Dịch vụ tốt
14745,4621,9,7,10,Dịch vụ tốt
14746,2794,3,4,8,Dịch vụ tốt
14747,29233,2,10,7,Dịch vụ tốt
14748,16881,2,10,9,Dịch vụ tốt
14749,14824,4,7,5,Dịch vụ tốt
14750,6112,5,9,8,Dịch vụ tốt
14751,25667,5,4,6,Dịch vụ tốt
14752,1246,1,3,9,Dịch vụ tốt
14753,29239,9,2,3,Dịch vụ tốt
14754,2725,8,6,8,Dịch vụ tốt
14755,1452,3,8,4,Dịch vụ tốt
14756,23120,8,4,3,Dịch vụ tốt
14757,15767,9,2,9,Dịch vụ tốt
14758,19729,2,3,8,Dịch vụ tốt
14759,25963,7,1,10,Dịch vụ tốt
14760,3342,2,1,4,Dịch vụ tốt
14761,15497,2,3,4,Dịch vụ tốt
14762,14363,9,4,2,Dịch vụ tốt
14763,10519,3,8,10,Dịch vụ tốt
14764,27329,10,7,1,Dịch vụ tốt
14765,7471,9,7,2,Dịch vụ tốt
14766,24919,2,1,10,Dịch vụ tốt
14767,25373,7,9,10,Dịch vụ tốt
14768,5402,1,2,4,Dịch vụ tốt
14769,23212,2,5,8,Dịch vụ tốt
14770,9902,10,2,8,Dịch vụ tốt
14771,7759,8,8,6,Dịch vụ tốt
14772,12777,4,10,8,Dịch vụ tốt
14773,8354,7,4,2,Dịch vụ tốt
14774,25312,2,2,3,Dịch vụ tốt
14775,3894,2,6,7,Dịch vụ tốt
14776,21385,8,1,2,Dịch vụ tốt
14777,20001,1,10,3,Dịch vụ tốt
14778,4598,4,10,7,Dịch vụ tốt
14779,13729,8,1,7,Dịch vụ tốt
14780,22753,1,9,10,Dịch vụ tốt
14781,1668,7,3,9,Dịch vụ tốt
14782,28312,2,2,5,Dịch vụ tốt
14783,15081,4,7,1,Dịch vụ tốt
14784,474,3,7,10,Dịch vụ tốt
14785,28231,7,3,2,Dịch vụ tốt
14786,16748,7,7,2,Dịch vụ tốt
14787,21228,5,10,1,Dịch vụ tốt
14788,698,6,8,5,Dịch vụ tốt
14789,3868,6,1,9,Dịch vụ tốt
14790,29321,10,10,3,Dịch vụ tốt
14791,21980,7,4,4,Dịch vụ tốt
14792,689,1,9,9,Dịch vụ tốt
14793,8967,2,1,6,Dịch vụ tốt
14794,25517,8,7,5,Dịch vụ tốt
14795,24168,4,8,3,Dịch vụ tốt
14796,2298,4,8,6,Dịch vụ tốt
14797,13704,2,3,7,Dịch vụ tốt
14798,9594,7,1,8,Dịch vụ tốt
14799,13412,2,4,3,Dịch vụ tốt
14800,3112,5,9,10,Dịch vụ tốt
14801,19857,7,10,4,Dịch vụ tốt
14802,27358,7,4,6,Dịch vụ tốt
14803,21012,4,10,5,Dịch vụ tốt
14804,26460,2,7,9,Dịch vụ tốt
14805,17422,5,6,6,Dịch vụ tốt
14806,13257,10,7,1,Dịch vụ tốt
14807,14258,6,5,5,Dịch vụ tốt
14808,14878,10,3,2,Dịch vụ tốt
14809,13111,9,1,10,Dịch vụ tốt
14810,3294,8,2,2,Dịch vụ tốt
14811,3919,3,1,4,Dịch vụ tốt
14812,22747,7,9,10,Dịch vụ tốt
14813,20949,3,10,9,Dịch vụ tốt
14814,28914,10,7,9,Dịch vụ tốt
14815,6177,4,5,4,Dịch vụ tốt
14816,23120,7,8,9,Dịch vụ tốt
14817,27325,2,4,5,Dịch vụ tốt
14818,25904,7,9,7,Dịch vụ tốt
14819,6229,9,5,3,Dịch vụ tốt
14820,29806,4,5,5,Dịch vụ tốt
14821,16388,1,4,2,Dịch vụ tốt
14822,15592,4,7,9,Dịch vụ tốt
14823,7067,4,10,2,Dịch vụ tốt
14824,15265,1,8,6,Dịch vụ tốt
14825,7963,6,2,9,Dịch vụ tốt
14826,20453,6,10,5,Dịch vụ tốt
14827,19572,7,3,4,Dịch vụ tốt
14828,29378,1,4,2,Dịch vụ tốt
14829,21716,3,5,6,Dịch vụ tốt
14830,8719,7,7,7,Dịch vụ tốt
14831,15608,4,4,5,Dịch vụ tốt
14832,11487,10,3,8,Dịch vụ tốt
14833,5369,7,10,10,Dịch vụ tốt
14834,24483,4,4,6,Dịch vụ tốt
14835,373,7,6,3,Dịch vụ tốt
14836,15931,9,7,1,Dịch vụ tốt
14837,6092,4,4,4,Dịch vụ tốt
14838,562,2,4,6,Dịch vụ tốt
14839,8711,2,10,9,Dịch vụ tốt
14840,18671,2,8,5,Dịch vụ tốt
14841,2966,5,6,10,Dịch vụ tốt
14842,10398,8,4,4,Dịch vụ tốt
14843,23849,7,2,9,Dịch vụ tốt
14844,27856,1,4,3,Dịch vụ tốt
14845,23115,10,4,5,Dịch vụ tốt
14846,28445,1,9,10,Dịch vụ tốt
14847,14303,4,8,7,Dịch vụ tốt
14848,8015,1,7,4,Dịch vụ tốt
14849,1288,1,8,7,Dịch vụ tốt
14850,20541,2,10,8,Dịch vụ tốt
14851,23500,6,8,5,Dịch vụ tốt
14852,27626,6,9,4,Dịch vụ tốt
14853,19028,4,8,5,Dịch vụ tốt
14854,11545,5,4,6,Dịch vụ tốt
14855,7366,8,6,5,Dịch vụ tốt
14856,2304,7,4,8,Dịch vụ tốt
14857,13661,9,7,3,Dịch vụ tốt
14858,978,9,2,4,Dịch vụ tốt
14859,11494,7,6,5,Dịch vụ tốt
14860,25241,8,9,7,Dịch vụ tốt
14861,4003,6,6,4,Dịch vụ tốt
14862,25543,9,6,3,Dịch vụ tốt
14863,16811,3,3,10,Dịch vụ tốt
14864,21525,3,2,6,Dịch vụ tốt
14865,29991,10,7,4,Dịch vụ tốt
14866,6030,9,7,6,Dịch vụ tốt
14867,2490,3,8,9,Dịch vụ tốt
14868,25443,5,1,7,Dịch vụ tốt
14869,26384,4,10,8,Dịch vụ tốt
14870,18631,5,6,5,Dịch vụ tốt
14871,1186,4,4,6,Dịch vụ tốt
14872,27107,9,4,6,Dịch vụ tốt
14873,23612,4,9,1,Dịch vụ tốt
14874,21028,2,10,7,Dịch vụ tốt
14875,28607,10,4,2,Dịch vụ tốt
14876,11392,4,6,2,Dịch vụ tốt
14877,27421,4,3,2,Dịch vụ tốt
14878,5300,9,2,10,Dịch vụ tốt
14879,10612,1,3,10,Dịch vụ tốt
14880,19706,6,1,4,Dịch vụ tốt
14881,2782,6,10,5,Dịch vụ tốt
14882,28049,1,8,6,Dịch vụ tốt
14883,26581,4,5,7,Dịch vụ tốt
14884,9133,2,5,2,Dịch vụ tốt
14885,7101,8,4,5,Dịch vụ tốt
14886,19831,6,1,7,Dịch vụ tốt
14887,16274,6,10,1,Dịch vụ tốt
14888,12848,2,9,2,Dịch vụ tốt
14889,27437,9,4,3,Dịch vụ tốt
14890,4097,10,3,8,Dịch vụ tốt
14891,27425,4,2,8,Dịch vụ tốt
14892,24577,8,8,2,Dịch vụ tốt
14893,15352,10,5,7,Dịch vụ tốt
14894,10332,10,10,6,Dịch vụ tốt
14895,14999,2,1,5,Dịch vụ tốt
14896,6475,7,3,1,Dịch vụ tốt
14897,9600,4,8,1,Dịch vụ tốt
14898,28663,10,8,4,Dịch vụ tốt
14899,20386,9,10,10,Dịch vụ tốt
14900,1030,6,3,4,Dịch vụ tốt
14901,13891,9,9,7,Dịch vụ tốt
14902,29890,6,3,10,Dịch vụ tốt
14903,22726,3,7,10,Dịch vụ tốt
14904,2876,3,7,9,Dịch vụ tốt
14905,23948,4,8,3,Dịch vụ tốt
14906,19281,4,3,10,Dịch vụ tốt
14907,28262,1,2,3,Dịch vụ tốt
14908,15753,5,2,10,Dịch vụ tốt
14909,2117,5,6,4,Dịch vụ tốt
14910,17986,7,2,1,Dịch vụ tốt
14911,22375,9,10,10,Dịch vụ tốt
14912,18698,8,2,10,Dịch vụ tốt
14913,13581,2,4,1,Dịch vụ tốt
14914,26098,10,2,1,Dịch vụ tốt
14915,23765,8,7,5,Dịch vụ tốt
14916,28814,9,4,1,Dịch vụ tốt
14917,18051,5,1,6,Dịch vụ tốt
14918,15334,4,6,3,Dịch vụ tốt
14919,29377,3,2,6,Dịch vụ tốt
14920,648,9,5,2,Dịch vụ tốt
14921,12201,4,4,3,Dịch vụ tốt
14922,25349,9,9,4,Dịch vụ tốt
14923,16195,9,8,3,Dịch vụ tốt
14924,3346,10,9,10,Dịch vụ tốt
14925,15570,5,8,5,Dịch vụ tốt
14926,21055,6,8,10,Dịch vụ tốt
14927,14527,9,3,9,Dịch vụ tốt
14928,12521,6,10,10,Dịch vụ tốt
14929,28378,7,7,10,Dịch vụ tốt
14930,10471,2,2,1,Dịch vụ tốt
14931,5524,4,7,2,Dịch vụ tốt
14932,16944,10,3,3,Dịch vụ tốt
14933,28628,5,5,3,Dịch vụ tốt
14934,15148,10,6,9,Dịch vụ tốt
14935,2192,10,4,1,Dịch vụ tốt
14936,1523,9,10,7,Dịch vụ tốt
14937,4132,9,4,6,Dịch vụ tốt
14938,4184,5,2,5,Dịch vụ tốt
14939,11899,4,1,4,Dịch vụ tốt
14940,13937,7,5,4,Dịch vụ tốt
14941,23206,5,1,5,Dịch vụ tốt
14942,14456,4,4,2,Dịch vụ tốt
14943,8187,7,3,3,Dịch vụ tốt
14944,20984,8,5,5,Dịch vụ tốt
14945,10799,7,1,1,Dịch vụ tốt
14946,10457,9,6,4,Dịch vụ tốt
14947,807,4,9,8,Dịch vụ tốt
14948,1184,2,3,6,Dịch vụ tốt
14949,6501,2,3,5,Dịch vụ tốt
14950,28332,10,6,4,Dịch vụ tốt
14951,23380,8,3,3,Dịch vụ tốt
14952,6019,7,8,6,Dịch vụ tốt
14953,16339,8,3,1,Dịch vụ tốt
14954,29703,3,6,1,Dịch vụ tốt
14955,22740,1,6,6,Dịch vụ tốt
14956,914,7,2,4,Dịch vụ tốt
14957,10114,9,3,9,Dịch vụ tốt
14958,2533,5,2,5,Dịch vụ tốt
14959,19544,6,10,1,Dịch vụ tốt
14960,5189,7,3,2,Dịch vụ tốt
14961,22080,3,1,7,Dịch vụ tốt
14962,1600,3,2,3,Dịch vụ tốt
14963,12471,9,10,4,Dịch vụ tốt
14964,22532,7,7,2,Dịch vụ tốt
14965,7280,3,8,9,Dịch vụ tốt
14966,8021,1,4,7,Dịch vụ tốt
14967,22066,10,1,8,Dịch vụ tốt
14968,21715,4,8,1,Dịch vụ tốt
14969,27231,8,5,9,Dịch vụ tốt
14970,9448,2,5,9,Dịch vụ tốt
14971,8268,4,7,7,Dịch vụ tốt
14972,24405,5,3,3,Dịch vụ tốt
14973,24522,1,4,3,Dịch vụ tốt
14974,26013,5,8,10,Dịch vụ tốt
14975,29872,1,10,6,Dịch vụ tốt
14976,13938,6,4,2,Dịch vụ tốt
14977,34,3,3,7,Dịch vụ tốt
14978,25056,2,7,7,Dịch vụ tốt
14979,24779,9,5,8,Dịch vụ tốt
14980,10016,10,8,10,Dịch vụ tốt
14981,10803,9,9,5,Dịch vụ tốt
14982,7057,9,3,2,Dịch vụ tốt
14983,21869,3,3,4,Dịch vụ tốt
14984,12562,5,4,8,Dịch vụ tốt
14985,6852,1,3,6,Dịch vụ tốt
14986,578,10,8,5,Dịch vụ tốt
14987,13215,6,8,8,Dịch vụ tốt
14988,6908,10,9,4,Dịch vụ tốt
14989,12740,5,10,10,Dịch vụ tốt
14990,4425,9,1,10,Dịch vụ tốt
14991,2270,6,2,10,Dịch vụ tốt
14992,24060,9,7,4,Dịch vụ tốt
14993,15011,10,3,9,Dịch vụ tốt
14994,19593,1,9,2,Dịch vụ tốt
14995,7391,9,2,2,Dịch vụ tốt
14996,26593,10,9,6,Dịch vụ tốt
14997,4226,8,8,9,Dịch vụ tốt
14998,29735,3,9,2,Dịch vụ tốt
14999,17990,1,8,5,Dịch vụ tốt
15000,18506,6,2,3,Dịch vụ tốt
15001,20055,2,10,2,Dịch vụ tốt
15002,25005,7,5,8,Dịch vụ tốt
15003,21823,8,7,4,Dịch vụ tốt
15004,3455,3,8,8,Dịch vụ tốt
15005,5801,6,3,10,Dịch vụ tốt
15006,886,5,1,8,Dịch vụ tốt
15007,13599,10,7,7,Dịch vụ tốt
15008,23775,3,4,2,Dịch vụ tốt
15009,8342,5,7,8,Dịch vụ tốt
15010,4391,3,8,7,Dịch vụ tốt
15011,29208,7,10,9,Dịch vụ tốt
15012,17273,9,8,4,Dịch vụ tốt
15013,25055,10,7,6,Dịch vụ tốt
15014,15703,7,7,4,Dịch vụ tốt
15015,1447,10,5,8,Dịch vụ tốt
15016,5513,6,6,7,Dịch vụ tốt
15017,17681,5,8,6,Dịch vụ tốt
15018,25104,6,4,9,Dịch vụ tốt
15019,18258,10,1,10,Dịch vụ tốt
15020,8695,2,6,10,Dịch vụ tốt
15021,25353,10,7,5,Dịch vụ tốt
15022,15860,7,5,9,Dịch vụ tốt
15023,7107,5,2,5,Dịch vụ tốt
15024,12850,8,9,9,Dịch vụ tốt
15025,24204,4,3,7,Dịch vụ tốt
15026,5921,3,4,1,Dịch vụ tốt
15027,19158,10,5,8,Dịch vụ tốt
15028,14678,8,6,5,Dịch vụ tốt
15029,259,7,4,5,Dịch vụ tốt
15030,9528,2,8,9,Dịch vụ tốt
15031,21388,5,7,2,Dịch vụ tốt
15032,4179,8,7,10,Dịch vụ tốt
15033,5084,4,6,5,Dịch vụ tốt
15034,29561,1,9,2,Dịch vụ tốt
15035,6045,3,3,8,Dịch vụ tốt
15036,6713,9,5,9,Dịch vụ tốt
15037,492,5,6,8,Dịch vụ tốt
15038,20281,3,7,3,Dịch vụ tốt
15039,26294,5,2,4,Dịch vụ tốt
15040,4926,7,7,5,Dịch vụ tốt
15041,920,9,2,6,Dịch vụ tốt
15042,24564,6,4,4,Dịch vụ tốt
15043,401,10,8,4,Dịch vụ tốt
15044,17730,5,5,7,Dịch vụ tốt
15045,25326,5,8,10,Dịch vụ tốt
15046,17774,10,4,4,Dịch vụ tốt
15047,3049,4,2,10,Dịch vụ tốt
15048,29860,4,1,5,Dịch vụ tốt
15049,15520,6,3,6,Dịch vụ tốt
15050,21609,8,10,3,Dịch vụ tốt
15051,19512,10,2,9,Dịch vụ tốt
15052,5253,8,4,4,Dịch vụ tốt
15053,14232,8,1,4,Dịch vụ tốt
15054,19528,5,6,3,Dịch vụ tốt
15055,11260,10,5,1,Dịch vụ tốt
15056,27064,1,3,2,Dịch vụ tốt
15057,10868,5,1,10,Dịch vụ tốt
15058,14071,10,3,3,Dịch vụ tốt
15059,7547,2,10,1,Dịch vụ tốt
15060,20152,6,10,2,Dịch vụ tốt
15061,10644,3,5,10,Dịch vụ tốt
15062,5282,5,8,9,Dịch vụ tốt
15063,8655,3,4,5,Dịch vụ tốt
15064,19901,1,9,4,Dịch vụ tốt
15065,6388,2,10,7,Dịch vụ tốt
15066,16036,4,10,3,Dịch vụ tốt
15067,3241,7,1,5,Dịch vụ tốt
15068,22937,4,5,7,Dịch vụ tốt
15069,5368,1,8,2,Dịch vụ tốt
15070,14495,4,3,10,Dịch vụ tốt
15071,15668,4,2,10,Dịch vụ tốt
15072,27011,10,4,8,Dịch vụ tốt
15073,13861,3,10,3,Dịch vụ tốt
15074,4077,4,7,7,Dịch vụ tốt
15075,11096,1,7,6,Dịch vụ tốt
15076,16209,4,3,5,Dịch vụ tốt
15077,16198,10,4,6,Dịch vụ tốt
15078,4252,5,9,5,Dịch vụ tốt
15079,29987,10,7,10,Dịch vụ tốt
15080,25371,2,7,2,Dịch vụ tốt
15081,9996,6,3,6,Dịch vụ tốt
15082,546,3,3,5,Dịch vụ tốt
15083,23004,6,3,8,Dịch vụ tốt
15084,11105,1,1,9,Dịch vụ tốt
15085,23102,9,7,4,Dịch vụ tốt
15086,11518,6,2,4,Dịch vụ tốt
15087,3360,2,6,5,Dịch vụ tốt
15088,9679,5,1,2,Dịch vụ tốt
15089,15605,10,5,5,Dịch vụ tốt
15090,11090,9,1,4,Dịch vụ tốt
15091,27402,9,3,4,Dịch vụ tốt
15092,5376,2,8,4,Dịch vụ tốt
15093,6747,5,2,4,Dịch vụ tốt
15094,1246,2,10,5,Dịch vụ tốt
15095,10012,7,8,2,Dịch vụ tốt
15096,1079,9,5,1,Dịch vụ tốt
15097,9149,3,1,10,Dịch vụ tốt
15098,20099,7,1,6,Dịch vụ tốt
15099,27731,7,1,3,Dịch vụ tốt
15100,13360,5,3,5,Dịch vụ tốt
15101,17489,2,2,9,Dịch vụ tốt
15102,24835,6,9,5,Dịch vụ tốt
15103,11611,3,5,8,Dịch vụ tốt
15104,28449,1,8,4,Dịch vụ tốt
15105,5532,7,10,1,Dịch vụ tốt
15106,20002,10,8,7,Dịch vụ tốt
15107,1202,2,3,5,Dịch vụ tốt
15108,3724,7,9,9,Dịch vụ tốt
15109,26244,9,10,9,Dịch vụ tốt
15110,29164,9,5,1,Dịch vụ tốt
15111,6860,9,9,4,Dịch vụ tốt
15112,16460,9,8,7,Dịch vụ tốt
15113,6295,6,6,10,Dịch vụ tốt
15114,96,7,4,1,Dịch vụ tốt
15115,25426,2,10,4,Dịch vụ tốt
15116,27702,6,5,8,Dịch vụ tốt
15117,23220,7,6,1,Dịch vụ tốt
15118,6028,4,8,10,Dịch vụ tốt
15119,26964,1,7,9,Dịch vụ tốt
15120,19127,6,1,7,Dịch vụ tốt
15121,19781,10,6,7,Dịch vụ tốt
15122,5417,1,9,10,Dịch vụ tốt
15123,5956,3,8,10,Dịch vụ tốt
15124,17573,5,1,10,Dịch vụ tốt
15125,12353,6,6,7,Dịch vụ tốt
15126,28933,6,8,10,Dịch vụ tốt
15127,8181,4,2,10,Dịch vụ tốt
15128,18810,4,4,5,Dịch vụ tốt
15129,10910,8,10,6,Dịch vụ tốt
15130,14695,2,9,1,Dịch vụ tốt
15131,16367,2,4,5,Dịch vụ tốt
15132,14299,3,6,3,Dịch vụ tốt
15133,6458,10,6,7,Dịch vụ tốt
15134,24999,2,8,2,Dịch vụ tốt
15135,27120,2,10,8,Dịch vụ tốt
15136,13926,5,4,2,Dịch vụ tốt
15137,19068,6,8,1,Dịch vụ tốt
15138,2532,3,1,8,Dịch vụ tốt
15139,14544,5,4,3,Dịch vụ tốt
15140,21562,10,10,2,Dịch vụ tốt
15141,20572,9,7,4,Dịch vụ tốt
15142,14020,9,2,1,Dịch vụ tốt
15143,12996,4,9,5,Dịch vụ tốt
15144,14063,8,3,5,Dịch vụ tốt
15145,19804,3,10,3,Dịch vụ tốt
15146,1334,4,1,7,Dịch vụ tốt
15147,7849,6,4,2,Dịch vụ tốt
15148,22495,10,9,9,Dịch vụ tốt
15149,19719,10,5,3,Dịch vụ tốt
15150,16445,5,3,2,Dịch vụ tốt
15151,20336,5,10,10,Dịch vụ tốt
15152,5416,2,3,4,Dịch vụ tốt
15153,4312,8,6,2,Dịch vụ tốt
15154,22884,9,3,9,Dịch vụ tốt
15155,17011,3,10,9,Dịch vụ tốt
15156,13562,10,1,4,Dịch vụ tốt
15157,15336,1,1,7,Dịch vụ tốt
15158,29751,4,4,10,Dịch vụ tốt
15159,19898,6,5,9,Dịch vụ tốt
15160,932,8,2,7,Dịch vụ tốt
15161,1206,3,7,5,Dịch vụ tốt
15162,17155,8,7,2,Dịch vụ tốt
15163,27936,10,1,3,Dịch vụ tốt
15164,245,4,7,6,Dịch vụ tốt
15165,9741,10,4,2,Dịch vụ tốt
15166,13439,3,1,2,Dịch vụ tốt
15167,24393,2,1,3,Dịch vụ tốt
15168,29060,1,7,8,Dịch vụ tốt
15169,3651,8,5,3,Dịch vụ tốt
15170,29937,6,8,6,Dịch vụ tốt
15171,23836,6,5,9,Dịch vụ tốt
15172,6839,1,9,10,Dịch vụ tốt
15173,5107,5,7,8,Dịch vụ tốt
15174,1142,1,4,1,Dịch vụ tốt
15175,29528,9,2,3,Dịch vụ tốt
15176,12066,10,2,4,Dịch vụ tốt
15177,6274,4,1,5,Dịch vụ tốt
15178,19114,6,9,8,Dịch vụ tốt
15179,13114,10,5,6,Dịch vụ tốt
15180,5139,8,7,4,Dịch vụ tốt
15181,1349,10,1,9,Dịch vụ tốt
15182,22819,2,9,10,Dịch vụ tốt
15183,10853,10,6,1,Dịch vụ tốt
15184,19979,1,4,3,Dịch vụ tốt
15185,27313,6,2,9,Dịch vụ tốt
15186,4351,7,1,4,Dịch vụ tốt
15187,2875,3,8,10,Dịch vụ tốt
15188,13885,9,4,6,Dịch vụ tốt
15189,2974,5,9,1,Dịch vụ tốt
15190,2456,6,9,10,Dịch vụ tốt
15191,3021,1,1,6,Dịch vụ tốt
15192,10546,2,4,4,Dịch vụ tốt
15193,6128,10,6,3,Dịch vụ tốt
15194,851,4,1,8,Dịch vụ tốt
15195,11630,3,2,10,Dịch vụ tốt
15196,26110,4,7,8,Dịch vụ tốt
15197,27730,4,2,4,Dịch vụ tốt
15198,4693,4,9,4,Dịch vụ tốt
15199,1501,7,5,4,Dịch vụ tốt
15200,6455,9,3,3,Dịch vụ tốt
15201,21860,1,3,4,Dịch vụ tốt
15202,8447,2,5,5,Dịch vụ tốt
15203,26705,2,6,4,Dịch vụ tốt
15204,6522,7,4,2,Dịch vụ tốt
15205,21081,8,8,1,Dịch vụ tốt
15206,12783,9,4,7,Dịch vụ tốt
15207,22250,10,4,7,Dịch vụ tốt
15208,15957,9,2,4,Dịch vụ tốt
15209,12488,9,9,7,Dịch vụ tốt
15210,29828,6,8,7,Dịch vụ tốt
15211,24112,10,7,6,Dịch vụ tốt
15212,15041,10,1,3,Dịch vụ tốt
15213,29479,8,10,3,Dịch vụ tốt
15214,13423,6,2,5,Dịch vụ tốt
15215,3193,5,8,6,Dịch vụ tốt
15216,6117,9,4,4,Dịch vụ tốt
15217,21204,8,9,10,Dịch vụ tốt
15218,19864,9,8,8,Dịch vụ tốt
15219,19194,1,9,7,Dịch vụ tốt
15220,4202,7,5,8,Dịch vụ tốt
15221,17820,6,6,10,Dịch vụ tốt
15222,15049,2,2,6,Dịch vụ tốt
15223,7687,4,7,5,Dịch vụ tốt
15224,18954,9,3,3,Dịch vụ tốt
15225,11524,3,9,3,Dịch vụ tốt
15226,5983,10,8,10,Dịch vụ tốt
15227,13051,10,5,7,Dịch vụ tốt
15228,18741,8,10,6,Dịch vụ tốt
15229,25151,3,8,10,Dịch vụ tốt
15230,1960,10,6,8,Dịch vụ tốt
15231,12632,8,3,5,Dịch vụ tốt
15232,28810,3,4,1,Dịch vụ tốt
15233,8383,7,9,1,Dịch vụ tốt
15234,27861,8,7,1,Dịch vụ tốt
15235,14477,1,9,6,Dịch vụ tốt
15236,10569,3,8,10,Dịch vụ tốt
15237,11833,9,10,5,Dịch vụ tốt
15238,27913,5,4,4,Dịch vụ tốt
15239,28744,4,8,2,Dịch vụ tốt
15240,23526,3,5,5,Dịch vụ tốt
15241,26293,3,4,1,Dịch vụ tốt
15242,27035,10,9,6,Dịch vụ tốt
15243,24290,9,2,7,Dịch vụ tốt
15244,22564,8,7,8,Dịch vụ tốt
15245,7527,8,3,7,Dịch vụ tốt
15246,10289,7,4,8,Dịch vụ tốt
15247,796,5,9,6,Dịch vụ tốt
15248,20212,9,6,4,Dịch vụ tốt
15249,8398,1,1,6,Dịch vụ tốt
15250,21780,6,2,8,Dịch vụ tốt
15251,6635,8,4,3,Dịch vụ tốt
15252,5734,6,5,4,Dịch vụ tốt
15253,15010,4,1,6,Dịch vụ tốt
15254,29834,1,3,5,Dịch vụ tốt
15255,17135,1,5,3,Dịch vụ tốt
15256,25397,3,10,1,Dịch vụ tốt
15257,18581,9,8,7,Dịch vụ tốt
15258,5859,3,6,6,Dịch vụ tốt
15259,794,3,8,1,Dịch vụ tốt
15260,993,9,1,7,Dịch vụ tốt
15261,13900,9,1,8,Dịch vụ tốt
15262,6566,2,1,10,Dịch vụ tốt
15263,15476,3,2,9,Dịch vụ tốt
15264,5690,9,8,5,Dịch vụ tốt
15265,4648,7,1,5,Dịch vụ tốt
15266,16436,6,3,4,Dịch vụ tốt
15267,19989,4,10,4,Dịch vụ tốt
15268,622,10,9,8,Dịch vụ tốt
15269,25018,7,10,6,Dịch vụ tốt
15270,1890,2,2,3,Dịch vụ tốt
15271,2745,7,9,10,Dịch vụ tốt
15272,16778,9,9,3,Dịch vụ tốt
15273,18998,6,10,3,Dịch vụ tốt
15274,14049,6,8,9,Dịch vụ tốt
15275,22088,6,10,2,Dịch vụ tốt
15276,15412,5,9,3,Dịch vụ tốt
15277,15716,8,1,3,Dịch vụ tốt
15278,4154,3,10,4,Dịch vụ tốt
15279,16181,5,10,8,Dịch vụ tốt
15280,14521,4,4,9,Dịch vụ tốt
15281,27251,10,7,7,Dịch vụ tốt
15282,21330,9,1,4,Dịch vụ tốt
15283,16219,6,5,8,Dịch vụ tốt
15284,3014,8,7,10,Dịch vụ tốt
15285,23088,6,5,5,Dịch vụ tốt
15286,18457,6,4,10,Dịch vụ tốt
15287,10513,1,10,9,Dịch vụ tốt
15288,1356,10,1,7,Dịch vụ tốt
15289,23023,6,6,9,Dịch vụ tốt
15290,23944,7,5,3,Dịch vụ tốt
15291,16751,8,10,10,Dịch vụ tốt
15292,2098,3,8,1,Dịch vụ tốt
15293,9246,4,1,6,Dịch vụ tốt
15294,5007,8,8,9,Dịch vụ tốt
15295,12901,10,10,10,Dịch vụ tốt
15296,25943,7,5,6,Dịch vụ tốt
15297,3756,10,10,5,Dịch vụ tốt
15298,14827,6,1,5,Dịch vụ tốt
15299,6795,3,9,10,Dịch vụ tốt
15300,27937,3,8,3,Dịch vụ tốt
15301,4329,7,2,10,Dịch vụ tốt
15302,5110,7,8,4,Dịch vụ tốt
15303,28539,5,4,6,Dịch vụ tốt
15304,24789,5,2,5,Dịch vụ tốt
15305,16298,8,1,9,Dịch vụ tốt
15306,22929,5,1,10,Dịch vụ tốt
15307,21731,6,8,2,Dịch vụ tốt
15308,24139,6,3,4,Dịch vụ tốt
15309,15415,4,6,3,Dịch vụ tốt
15310,20598,2,1,1,Dịch vụ tốt
