MAKB,MATC,MABACSI,NGAYHENTAIKHAM
34977,16735,2,2025-03-01
34978,41641,133,2025-11-09
34979,9460,159,2024-05-09
34980,11386,190,2024-08-04
34981,20700,109,2024-03-07
34982,9068,186,2024-03-26
34983,31415,133,2025-04-29
34984,21482,200,2024-07-19
34985,39397,177,2024-02-19
34986,15284,15,2024-10-06
34987,9439,193,2024-12-14
34988,40221,98,2025-10-26
34989,15070,85,2025-10-18
34990,13500,195,2024-06-05
34991,3063,129,2025-09-09
34992,25551,4,2025-03-21
34993,6423,32,2025-03-17
34994,30247,103,2025-03-01
34995,11196,146,2024-12-08
34996,22231,167,2025-05-08
34997,23346,36,2025-09-28
34998,19795,4,2024-05-24
34999,26019,32,2024-12-15
35000,12803,103,2024-08-21
35001,7224,3,2025-04-28
35002,1618,65,2024-09-28
35003,1651,81,2024-04-17
35004,10362,28,2025-10-02
35005,9538,114,2024-09-18
35006,37700,70,2025-12-15
35007,36747,106,2025-01-10
35008,8252,14,2024-08-13
35009,21094,2,2024-05-08
35010,5485,58,2024-02-12
35011,26731,12,2025-09-08
35012,6477,140,2024-12-02
35013,35403,198,2025-12-01
35014,6320,167,2025-03-04
35015,22826,15,2025-09-03
35016,37714,55,2025-12-11
35017,34164,196,2025-12-24
35018,25928,178,2024-11-08
35019,24364,79,2024-09-16
35020,10395,117,2024-09-15
35021,13,144,2025-02-15
35022,14517,167,2024-06-15
35023,34550,21,2024-09-30
35024,32091,50,2024-01-10
35025,12352,109,2024-04-10
35026,18193,164,2024-12-17
35027,3070,198,2024-05-31
35028,41677,3,2024-04-25
35029,43017,86,2024-05-14
35030,1405,79,2025-06-18
35031,44279,14,2025-08-26
35032,1525,27,2025-12-14
35033,12220,123,2024-12-26
35034,3417,124,2024-10-30
35035,11010,26,2025-10-07
35036,25723,145,2024-09-05
35037,43895,176,2024-10-08
35038,28617,10,2025-12-22
35039,42702,185,2024-02-04
35040,38445,159,2024-04-09
35041,8783,194,2025-04-04
35042,35877,48,2025-11-21
35043,35276,148,2024-03-12
35044,11819,152,2025-02-10
35045,22575,80,2025-10-12
35046,33429,83,2025-09-17
35047,33751,42,2025-05-14
35048,33992,147,2024-12-27
35049,43770,164,2025-07-23
35050,4944,114,2024-05-16
35051,26638,2,2025-11-01
35052,43710,38,2025-01-27
35053,23223,21,2024-06-20
35054,27137,166,2025-05-16
35055,38597,95,2025-04-18
35056,18181,18,2024-04-21
35057,23815,11,2025-08-28
35058,13357,188,2025-11-04
35059,490,133,2025-03-20
35060,13161,189,2025-01-22
35061,10694,113,2024-06-08
35062,1511,39,2024-08-27
35063,4111,177,2024-11-02
35064,42837,67,2024-04-10
35065,9605,34,2024-10-22
35066,22760,148,2025-11-22
35067,30001,25,2024-09-01
35068,10862,34,2025-06-07
35069,12514,188,2025-04-14
35070,40837,103,2024-10-03
35071,18362,161,2024-07-18
35072,301,103,2024-04-21
35073,9629,139,2025-10-26
35074,15654,56,2025-10-07
35075,39040,115,2024-08-06
35076,33367,106,2024-12-01
35077,16307,9,2024-03-25
35078,39429,130,2025-01-16
35079,26784,93,2025-06-28
35080,21002,129,2024-06-29
35081,28135,101,2024-01-10
35082,21699,134,2024-01-17
35083,4045,194,2025-04-20
35084,18949,137,2025-12-01
35085,41915,132,2025-11-07
35086,25176,108,2024-10-20
35087,25453,9,2025-10-27
35088,10618,148,2025-11-20
35089,11814,12,2024-06-02
35090,12897,20,2025-09-20
35091,5869,114,2025-01-04
35092,61,124,2024-07-09
35093,40588,122,2024-03-26
35094,6937,122,2024-05-20
35095,10057,95,2024-05-29
35096,23013,33,2024-11-24
35097,32148,105,2024-03-30
35098,25785,153,2024-02-29
35099,30422,84,2025-03-26
35100,18106,150,2024-07-25
35101,19166,184,2025-08-28
35102,6791,181,2024-02-22
35103,41099,22,2025-06-03
35104,40940,163,2024-08-08
35105,43897,19,2024-04-25
35106,19252,83,2024-07-19
35107,28361,25,2024-07-01
35108,8439,38,2025-04-28
35109,41430,30,2025-10-13
35110,20940,181,2025-12-24
35111,31231,82,2024-05-27
35112,7960,134,2024-09-08
35113,17091,194,2024-11-07
35114,28579,142,2024-05-13
35115,28046,95,2025-12-15
35116,16831,194,2024-01-04
35117,9224,33,2025-02-25
35118,37530,39,2024-08-02
35119,22897,38,2025-11-02
35120,42399,135,2025-08-12
35121,25620,109,2024-05-18
35122,37817,198,2024-06-30
35123,27152,169,2024-12-23
35124,13936,22,2024-12-29
35125,5354,97,2024-08-11
35126,13804,87,2024-04-11
35127,41693,29,2024-03-13
35128,36830,96,2024-12-16
35129,33885,120,2024-05-30
35130,25662,45,2024-05-19
35131,23226,95,2025-06-22
35132,6178,161,2024-06-15
35133,42415,142,2024-05-12
35134,24455,189,2024-03-10
35135,10345,169,2025-03-17
35136,4047,72,2024-05-15
35137,741,151,2024-10-04
35138,10873,142,2025-08-23
35139,18798,65,2025-12-16
35140,38690,129,2024-08-13
35141,11385,173,2025-01-10
35142,17004,186,2024-01-16
35143,35739,109,2025-01-21
35144,25227,50,2024-10-29
35145,19539,149,2024-04-21
35146,19013,89,2024-06-01
35147,33587,194,2025-09-24
35148,12117,138,2024-09-22
35149,5141,140,2024-04-26
35150,2656,92,2024-06-07
35151,29559,129,2024-04-26
35152,19858,184,2025-11-13
35153,9389,1,2024-04-16
35154,33784,36,2025-05-18
35155,37675,187,2025-08-31
35156,12005,9,2024-04-26
35157,2079,53,2025-12-23
35158,27488,153,2024-07-26
35159,13365,20,2025-09-28
35160,35195,89,2024-02-20
35161,35234,63,2024-04-10
35162,4040,185,2025-08-01
35163,22377,149,2025-02-02
35164,23961,33,2024-10-16
35165,23111,60,2025-11-28
35166,32686,24,2024-04-18
35167,44738,74,2024-10-21
35168,28961,129,2024-05-04
35169,864,199,2024-04-15
35170,37751,16,2024-03-14
35171,7624,133,2025-04-18
35172,12584,175,2025-04-14
35173,38816,73,2024-10-02
35174,31213,197,2024-06-11
35175,33202,39,2025-08-31
35176,1052,137,2025-05-24
35177,41775,134,2025-02-09
35178,42647,155,2025-10-14
35179,33419,147,2025-08-10
35180,10807,102,2025-07-16
35181,33044,192,2024-05-19
35182,24673,110,2025-10-10
35183,44358,76,2025-01-24
35184,14134,63,2024-10-25
35185,22189,70,2024-08-26
35186,1682,65,2024-09-11
35187,22366,155,2024-03-21
35188,13333,74,2024-07-15
35189,37445,123,2025-11-14
35190,33381,42,2024-10-13
35191,41820,114,2025-01-04
35192,40318,194,2024-08-06
35193,40392,175,2025-03-21
35194,7145,23,2024-12-02
35195,16205,193,2024-08-20
35196,28467,85,2024-04-10
35197,30527,30,2024-05-06
35198,16549,13,2024-03-08
35199,28407,77,2025-11-16
35200,31777,168,2025-10-07
35201,18745,41,2025-06-12
35202,41548,125,2025-05-24
35203,32151,185,2024-12-26
35204,18158,79,2024-06-16
35205,3091,40,2025-04-03
35206,42744,147,2024-12-12
35207,16269,199,2024-11-18
35208,42729,193,2025-06-12
35209,7367,61,2024-11-17
35210,32212,154,2024-09-21
35211,34570,187,2024-12-18
35212,38731,185,2024-09-11
35213,14986,91,2025-02-22
35214,20428,53,2025-11-03
35215,26969,129,2024-04-26
35216,38753,71,2025-03-04
35217,39585,122,2024-02-20
35218,25901,181,2025-11-18
35219,18113,120,2024-02-03
35220,26328,100,2024-04-23
35221,1829,92,2025-06-01
35222,25797,85,2025-12-12
35223,18226,154,2024-01-21
35224,40788,12,2025-01-06
35225,35417,23,2025-06-10
35226,27044,3,2024-08-30
35227,35409,65,2025-09-01
35228,38907,138,2025-10-08
35229,43441,15,2024-07-23
35230,35335,88,2025-10-23
35231,24533,186,2025-03-11
35232,234,120,2024-03-29
35233,8259,32,2025-10-31
35234,15171,105,2025-08-28
35235,32315,127,2025-04-09
35236,36751,116,2025-03-07
35237,13791,107,2024-02-26
35238,30467,114,2025-03-22
35239,19843,177,2025-12-07
35240,30690,132,2024-10-10
35241,26540,199,2025-03-03
35242,26908,114,2025-08-15
35243,37207,151,2024-04-15
35244,20445,64,2024-06-04
35245,18151,8,2025-04-16
35246,8497,143,2024-07-31
35247,3864,127,2025-11-10
35248,5643,73,2024-02-26
35249,39501,153,2025-06-16
35250,32888,39,2024-09-16
35251,25103,22,2025-10-26
35252,15012,7,2024-07-08
35253,44455,139,2024-02-29
35254,24959,113,2024-11-07
35255,18270,167,2025-10-05
35256,1665,105,2025-02-01
35257,35003,109,2025-11-20
35258,34751,95,2025-09-06
35259,17259,136,2025-02-27
35260,20981,41,2025-08-17
35261,21225,139,2025-03-08
35262,4852,141,2024-09-16
35263,32544,42,2025-09-30
35264,27018,97,2025-03-11
35265,21412,150,2025-09-30
35266,36745,62,2025-05-25
35267,29853,64,2024-04-15
35268,4518,136,2025-03-13
35269,6177,187,2025-09-24
35270,16350,53,2024-07-14
35271,28013,99,2025-10-25
35272,41173,193,2024-02-22
35273,19529,66,2025-05-02
35274,40349,67,2024-10-31
35275,6824,192,2024-06-23
35276,36247,101,2024-04-15
35277,17893,108,2024-08-04
35278,39454,96,2025-06-08
35279,20946,140,2025-03-26
35280,22321,141,2024-04-14
35281,30070,189,2024-07-22
35282,30509,58,2024-12-13
35283,34198,98,2024-05-20
35284,9820,31,2024-04-16
35285,1584,148,2024-07-30
35286,15851,53,2025-02-17
35287,34166,88,2024-06-05
35288,7479,19,2024-01-02
35289,38294,39,2025-03-15
35290,38202,8,2024-07-12
35291,23940,175,2024-02-19
35292,14067,174,2025-12-20
35293,43558,139,2025-04-13
35294,40772,114,2025-01-10
35295,5233,84,2024-04-13
35296,4489,188,2024-07-31
35297,13999,111,2025-04-25
35298,40688,26,2025-11-29
35299,738,168,2025-01-22
35300,25282,33,2025-09-30
35301,10946,171,2025-10-30
35302,18537,43,2024-05-23
35303,3631,193,2025-08-04
35304,37312,69,2024-10-26
35305,31644,87,2025-07-16
35306,37368,140,2025-12-24
35307,37570,110,2024-01-25
35308,40271,30,2025-04-08
35309,18862,69,2024-10-08
35310,16561,66,2025-02-17
35311,35405,115,2024-03-08
35312,31270,190,2024-10-06
35313,23382,153,2025-10-06
35314,38964,113,2025-06-18
35315,26411,127,2024-07-01
35316,42021,22,2024-05-13
35317,44521,122,2024-02-19
35318,1534,195,2025-10-20
35319,27722,166,2025-02-11
35320,43089,35,2025-11-04
35321,37932,168,2024-03-16
35322,10929,161,2025-08-03
35323,35360,71,2025-11-30
35324,5407,114,2025-06-15
35325,11130,118,2025-11-13
35326,24451,96,2024-05-01
35327,9110,22,2025-07-10
35328,12943,178,2025-11-16
35329,5870,114,2025-12-27
35330,17815,97,2024-10-08
35331,19926,122,2024-01-04
35332,24662,30,2025-04-06
35333,15471,92,2025-08-23
35334,5798,186,2025-07-21
35335,18687,45,2025-06-10
35336,6834,68,2025-09-26
35337,42553,49,2025-03-31
35338,32131,84,2025-06-02
35339,29835,130,2025-07-29
35340,10784,167,2024-09-30
35341,37602,149,2025-04-30
35342,32308,120,2025-09-16
35343,3426,166,2025-11-07
35344,10727,3,2025-10-12
35345,22178,21,2024-06-08
35346,6590,6,2025-11-10
35347,8331,95,2025-02-19
35348,22798,81,2024-10-30
35349,42198,190,2025-09-08
35350,36573,120,2024-10-27
35351,43695,84,2025-02-26
35352,39305,17,2024-01-16
35353,11316,83,2024-03-14
35354,20192,192,2025-11-25
35355,25898,164,2025-11-27
35356,13646,111,2024-01-24
35357,25386,188,2024-12-26
35358,28792,4,2024-07-22
35359,29880,158,2025-02-19
35360,8086,59,2024-07-07
35361,24972,43,2025-06-15
35362,42693,129,2024-02-14
35363,1465,60,2025-05-06
35364,33205,35,2025-06-06
35365,41628,187,2024-05-25
35366,8947,69,2024-11-04
35367,44360,102,2025-01-26
35368,43400,5,2025-05-03
35369,16196,47,2025-07-20
35370,36412,39,2025-01-05
35371,36845,160,2024-07-06
35372,20525,136,2024-12-18
35373,1639,48,2025-03-03
35374,41591,173,2024-04-27
35375,44637,31,2025-08-18
35376,1684,70,2025-12-27
35377,12220,87,2025-02-11
35378,7563,93,2024-12-18
35379,37050,149,2025-09-07
35380,32118,2,2024-09-28
35381,1661,26,2024-06-13
35382,2768,17,2024-03-29
35383,30197,138,2024-03-19
35384,2394,134,2024-07-07
35385,34513,179,2025-02-22
35386,16085,181,2024-07-25
35387,18885,35,2025-01-13
35388,20623,165,2025-01-09
35389,29365,10,2025-06-16
35390,38068,114,2025-11-05
35391,27631,176,2024-01-04
35392,15840,121,2024-05-09
35393,26107,51,2025-01-31
35394,30016,26,2025-12-08
35395,42215,41,2024-09-04
35396,33800,30,2024-09-24
35397,17668,114,2025-12-19
35398,33764,84,2025-11-16
35399,3604,27,2025-11-13
35400,20634,2,2025-01-28
35401,3382,18,2024-04-05
35402,35170,77,2025-11-21
35403,37974,134,2025-12-22
35404,39258,159,2024-10-13
35405,8128,176,2024-09-05
35406,15859,196,2024-04-13
35407,27696,193,2024-07-14
35408,16432,162,2024-08-10
35409,20873,125,2024-09-16
35410,35759,30,2025-07-21
35411,13899,126,2025-07-04
35412,6789,133,2025-04-09
35413,44446,95,2025-11-01
35414,1013,196,2024-08-19
35415,43992,38,2024-09-03
35416,38260,56,2025-10-06
35417,14206,79,2024-03-11
35418,18206,9,2025-05-08
35419,34834,58,2025-08-25
35420,22374,88,2025-03-09
35421,35740,139,2024-04-14
35422,1892,119,2025-11-12
35423,13818,49,2025-05-15
35424,41979,189,2025-02-17
35425,40880,43,2025-11-08
35426,27793,81,2024-08-24
35427,25600,13,2024-09-03
35428,25439,93,2024-02-01
35429,12767,56,2025-10-10
35430,7021,175,2025-01-01
35431,43742,91,2025-07-31
35432,4970,52,2024-06-15
35433,9439,188,2025-08-29
35434,29622,41,2025-02-10
35435,16364,26,2024-05-01
35436,43896,160,2025-08-13
35437,9118,155,2024-10-25
35438,23282,86,2024-07-18
35439,1244,109,2024-03-03
35440,16695,33,2025-11-12
35441,3873,165,2025-06-17
35442,21861,175,2025-04-12
35443,24676,43,2024-05-02
35444,40237,176,2025-07-06
35445,44740,152,2024-09-08
35446,8604,147,2024-05-18
35447,33073,70,2024-02-12
35448,10962,105,2025-03-20
35449,39740,97,2025-12-26
35450,6557,20,2025-02-06
35451,42959,194,2025-04-17
35452,37438,127,2025-02-13
35453,22156,171,2024-08-13
35454,6536,127,2024-05-12
35455,26769,128,2025-08-27
35456,12512,184,2024-07-27
35457,21129,13,2024-11-26
35458,35318,19,2025-10-23
35459,38808,124,2025-01-18
35460,28266,32,2025-10-24
35461,6601,57,2024-01-25
35462,23249,126,2025-06-17
35463,41837,163,2024-02-04
35464,17207,192,2025-11-09
35465,42195,198,2025-06-22
35466,21968,86,2025-01-28
35467,18007,141,2025-12-21
35468,24805,41,2025-08-18
35469,21924,111,2024-01-29
35470,28595,166,2025-07-04
35471,5130,104,2025-01-21
35472,22361,36,2025-07-07
35473,41365,146,2025-08-23
35474,29503,78,2024-05-19
35475,8018,23,2024-06-19
35476,9003,59,2024-08-23
35477,5828,73,2025-12-26
35478,11681,66,2025-04-25
35479,19204,185,2025-05-21
35480,25571,104,2024-09-29
35481,42107,46,2024-03-24
35482,27642,116,2025-03-29
35483,6712,134,2025-07-25
35484,43828,119,2024-05-11
35485,26659,78,2025-08-28
35486,44999,62,2024-05-05
35487,21828,132,2025-05-15
35488,13297,195,2024-01-12
35489,30423,75,2025-06-20
35490,11968,34,2025-05-04
35491,44648,23,2025-03-03
35492,42932,152,2024-10-31
35493,5920,101,2024-12-29
35494,20914,19,2025-09-05
35495,21831,139,2024-10-06
35496,31289,100,2025-10-22
35497,22095,44,2025-03-21
35498,27220,82,2024-07-23
35499,16116,164,2025-09-30
35500,4604,194,2025-04-18
35501,7950,89,2025-08-06
35502,20419,59,2024-05-06
35503,40211,140,2024-01-10
35504,36890,115,2025-01-03
35505,21091,126,2025-06-07
35506,26786,160,2024-10-16
35507,22146,158,2025-05-16
35508,3891,82,2024-07-09
35509,44368,58,2024-08-13
35510,26236,138,2025-08-10
35511,9966,44,2025-09-09
35512,18146,182,2025-07-02
35513,10818,103,2024-01-23
35514,24662,82,2025-06-21
35515,26088,58,2024-08-01
35516,44960,143,2025-05-19
35517,39944,71,2024-06-03
35518,22671,5,2025-01-30
35519,34383,174,2024-12-19
35520,18938,193,2024-10-27
35521,31848,169,2025-08-01
35522,12581,124,2025-03-23
35523,5498,110,2024-01-17
35524,21992,156,2024-03-13
35525,4209,191,2025-11-08
35526,28770,32,2024-06-10
35527,42411,187,2025-07-10
35528,2540,17,2024-05-20
35529,21256,179,2024-11-25
35530,40465,158,2025-01-12
35531,24188,104,2025-11-12
35532,28001,159,2025-11-08
35533,34452,48,2025-09-28
35534,42713,109,2025-09-10
35535,32290,91,2025-11-24
35536,877,108,2024-01-20
35537,21697,36,2024-10-23
35538,22445,50,2024-07-13
35539,3,72,2025-12-17
35540,40793,185,2025-05-30
35541,8892,5,2024-05-17
35542,34747,22,2024-06-08
35543,35985,142,2024-04-01
35544,11648,30,2024-09-03
35545,19248,25,2024-12-09
35546,10262,180,2024-11-09
35547,590,111,2024-06-03
35548,27891,162,2024-10-15
35549,506,65,2025-09-08
35550,22074,42,2024-09-15
35551,44761,192,2024-05-03
35552,28218,109,2024-11-27
35553,6343,14,2024-02-09
35554,17521,42,2025-04-01
35555,26821,13,2024-03-07
35556,15611,113,2025-05-28
35557,29196,43,2024-08-13
35558,4560,143,2025-07-29
35559,19961,105,2025-04-17
35560,23222,65,2025-11-04
35561,22097,20,2024-07-06
35562,41105,68,2025-06-07
35563,12619,30,2025-04-11
35564,39712,29,2025-02-13
35565,27428,83,2025-06-08
35566,22679,100,2024-02-21
35567,23949,31,2024-04-19
35568,41496,101,2025-08-17
35569,25729,163,2024-06-18
35570,17855,78,2024-09-04
35571,28154,54,2024-05-02
35572,31461,21,2024-05-31
35573,10759,59,2025-11-24
35574,28615,32,2025-06-16
35575,19138,7,2025-05-24
35576,32528,136,2025-03-25
35577,1266,177,2024-01-20
35578,36326,20,2025-12-31
35579,12223,146,2024-05-24
35580,12826,6,2024-03-27
35581,42378,96,2025-08-06
35582,36267,196,2025-09-26
35583,22625,90,2024-01-10
35584,23081,160,2024-12-05
35585,11797,73,2025-04-10
35586,31967,65,2025-09-17
35587,13329,113,2024-10-28
35588,10320,155,2024-03-17
35589,9310,16,2025-11-08
35590,37102,8,2024-10-04
35591,33506,16,2024-10-27
35592,25135,153,2024-08-01
35593,1379,161,2024-09-05
35594,33212,122,2024-09-28
35595,43668,20,2025-06-17
35596,4793,133,2024-06-27
35597,15331,99,2024-02-04
35598,42143,66,2024-02-14
35599,44350,112,2025-10-26
35600,12359,73,2025-02-27
35601,38315,124,2025-01-09
35602,22656,1,2025-09-13
35603,23439,98,2024-04-30
35604,26835,195,2025-08-18
35605,11158,99,2024-09-05
35606,19454,190,2025-07-05
35607,6046,190,2025-03-24
35608,21150,3,2025-07-22
35609,42490,127,2025-06-28
35610,38722,18,2024-02-01
35611,33756,172,2025-03-02
35612,7688,31,2024-07-14
35613,15918,17,2024-08-15
35614,19698,192,2025-09-13
35615,3425,193,2024-10-08
35616,30508,34,2025-02-04
35617,31442,40,2024-10-26
35618,40731,136,2024-09-29
35619,43073,181,2024-06-20
35620,18061,70,2024-05-17
35621,31269,10,2024-01-17
35622,29072,160,2025-05-17
35623,20376,82,2025-03-08
35624,28897,83,2025-02-12
35625,39660,42,2024-08-29
35626,23852,60,2024-04-30
35627,32543,53,2025-04-13
35628,9381,125,2025-04-27
35629,20504,144,2025-10-10
35630,18007,127,2025-08-27
35631,1441,28,2025-05-21
35632,32792,18,2025-03-09
35633,38100,1,2025-02-11
35634,30469,138,2025-07-09
35635,31059,33,2025-02-19
35636,37627,11,2025-03-01
35637,14639,26,2025-01-05
35638,33502,125,2025-04-10
35639,17578,185,2024-09-09
35640,27278,15,2024-05-10
35641,39665,77,2025-12-05
35642,20443,114,2024-08-01
35643,39294,148,2024-12-26
35644,30561,81,2024-06-12
35645,2954,171,2025-10-31
35646,16637,17,2024-10-06
35647,31563,124,2024-05-26
35648,33488,109,2025-12-16
35649,32904,153,2024-06-07
35650,11447,183,2024-07-12
35651,37697,160,2024-01-08
35652,29954,166,2025-04-19
35653,8025,151,2024-05-22
35654,33736,67,2024-07-05
35655,25137,2,2024-10-17
35656,29011,78,2025-07-18
35657,14451,123,2024-10-21
35658,7549,156,2025-03-17
35659,35247,198,2025-04-27
35660,8094,23,2025-12-03
35661,5059,152,2025-05-30
35662,38950,135,2025-11-16
35663,43332,9,2024-05-30
35664,25642,157,2024-01-30
35665,22781,116,2024-09-15
35666,34438,34,2025-01-23
35667,21471,144,2025-08-05
35668,31834,73,2024-10-24
35669,21791,74,2025-09-18
35670,16000,120,2025-07-09
35671,723,139,2025-11-20
35672,13374,64,2025-10-31
35673,13796,111,2025-07-29
35674,536,72,2025-03-20
35675,41616,14,2025-09-02
35676,41962,170,2024-02-26
35677,43546,186,2024-01-10
35678,38184,185,2024-06-28
35679,29238,130,2025-03-16
35680,32938,56,2024-08-30
35681,9312,143,2025-10-13
35682,22729,155,2025-07-27
35683,16056,82,2024-08-08
35684,28594,64,2025-06-08
35685,35236,168,2024-07-04
35686,2704,2,2025-08-10
35687,13134,36,2025-05-04
35688,38168,129,2024-12-28
35689,10015,82,2024-07-10
35690,13518,176,2024-08-05
35691,29879,108,2025-11-08
35692,43241,177,2024-07-27
35693,42412,17,2024-11-23
35694,6769,87,2024-02-17
35695,38563,76,2024-05-17
35696,36732,193,2024-09-15
35697,30085,189,2024-08-24
35698,32380,42,2024-10-01
35699,34821,170,2025-11-21
35700,31950,194,2024-01-02
35701,1663,119,2025-05-13
35702,36771,145,2024-07-10
35703,42833,120,2025-01-04
35704,35257,185,2025-05-13
35705,3962,96,2024-04-08
35706,16040,67,2024-03-05
35707,1582,175,2025-10-08
35708,10771,39,2025-09-06
35709,26230,185,2024-02-04
35710,16255,150,2024-08-27
35711,32884,37,2024-08-06
35712,42264,99,2024-09-22
35713,3958,26,2025-05-24
35714,23810,185,2025-02-06
35715,10606,126,2024-05-22
35716,133,5,2024-11-07
35717,44741,93,2025-10-29
35718,34064,5,2024-02-28
35719,462,120,2025-11-14
35720,13847,67,2024-12-27
35721,32870,10,2025-09-08
35722,18987,105,2024-11-06
35723,39297,56,2024-07-04
35724,593,93,2024-11-26
35725,16431,126,2025-07-02
35726,24687,1,2024-06-16
35727,34593,116,2025-04-23
35728,2506,93,2025-07-06
35729,30253,198,2024-11-22
35730,23589,134,2025-06-02
35731,21321,3,2025-12-05
35732,32826,70,2024-01-30
35733,44661,95,2025-03-18
35734,12350,182,2025-02-19
35735,3018,97,2025-03-05
35736,17978,43,2025-06-14
35737,30949,52,2025-05-24
35738,23171,11,2024-07-29
35739,11579,138,2025-08-11
35740,20432,186,2024-02-27
35741,26824,19,2024-08-22
35742,6151,46,2025-02-01
35743,22034,15,2025-04-21
35744,3792,146,2024-04-08
35745,26969,70,2024-09-27
35746,6312,47,2025-01-28
35747,24672,72,2024-08-01
35748,4397,5,2025-10-08
35749,32492,2,2024-06-05
35750,8817,126,2025-04-14
35751,38088,7,2025-11-15
35752,39187,155,2024-10-21
35753,7078,120,2024-05-06
35754,3643,67,2025-04-20
35755,44475,112,2024-08-10
35756,43223,106,2025-03-23
35757,39541,108,2024-11-22
35758,37184,88,2024-04-03
35759,17618,99,2024-08-05
35760,42388,172,2024-07-11
35761,37765,20,2025-04-02
35762,20521,37,2024-10-11
35763,29511,120,2025-05-13
35764,23998,51,2025-10-20
35765,4630,100,2024-06-23
35766,804,196,2024-01-08
35767,4149,43,2024-03-30
35768,40689,61,2024-01-30
35769,30346,67,2024-04-11
35770,25547,76,2024-06-25
35771,44048,40,2025-12-05
35772,26772,179,2025-02-21
35773,22006,87,2025-11-28
35774,30228,76,2024-02-08
35775,20092,34,2025-05-24
35776,16295,66,2025-10-31
35777,34679,141,2025-08-14
35778,44458,156,2024-04-19
35779,12292,157,2024-09-19
35780,30357,93,2025-11-28
35781,19682,87,2024-07-03
35782,35508,103,2025-03-18
35783,11594,163,2024-05-12
35784,20317,3,2025-12-28
35785,15313,161,2025-09-29
35786,42850,144,2025-10-22
35787,15966,6,2025-01-22
35788,43653,8,2024-10-22
35789,7220,127,2024-09-26
35790,35641,170,2024-09-17
35791,42558,138,2024-05-13
35792,7470,36,2025-08-24
35793,34998,71,2024-09-19
35794,19465,86,2025-07-10
35795,23092,8,2024-08-25
35796,22618,113,2025-02-03
35797,31737,4,2024-06-24
35798,37901,10,2025-04-07
35799,41952,81,2024-05-19
35800,19529,91,2025-11-11
35801,310,159,2024-01-10
35802,30777,119,2024-10-03
35803,26314,92,2024-02-14
35804,5181,183,2024-02-12
35805,1710,42,2025-12-19
35806,27866,37,2025-05-21
35807,3004,185,2024-06-19
35808,16965,19,2024-12-05
35809,11483,173,2025-02-19
35810,40705,44,2024-01-06
35811,967,187,2025-04-14
35812,9051,200,2025-07-12
35813,30198,15,2025-09-19
35814,12481,179,2024-01-25
35815,13525,188,2025-06-09
35816,5003,47,2025-03-08
35817,25468,165,2024-05-14
35818,29300,126,2024-11-15
35819,25161,25,2024-12-22
35820,17301,65,2025-06-02
35821,13306,107,2024-01-28
35822,34423,40,2024-02-10
35823,26849,163,2025-07-26
35824,14011,101,2024-02-22
35825,13706,27,2025-04-15
35826,9812,121,2024-08-14
35827,32960,147,2024-10-30
35828,6247,59,2024-09-06
35829,16700,11,2025-08-27
35830,14558,131,2024-10-27
35831,44413,139,2025-07-19
35832,3138,25,2024-02-07
35833,26018,188,2024-02-18
35834,12301,7,2025-12-04
35835,3151,120,2024-10-10
35836,44304,52,2025-08-04
35837,10748,9,2025-05-17
35838,13195,77,2025-11-13
35839,26091,142,2025-10-30
35840,11826,196,2025-09-21
35841,40328,33,2024-04-20
35842,15273,89,2025-01-08
35843,8466,89,2024-07-24
35844,21711,97,2024-05-22
35845,36066,190,2024-07-08
35846,10899,143,2024-05-20
35847,24691,67,2025-08-28
35848,2652,140,2025-01-14
35849,27205,120,2024-11-16
35850,10500,175,2025-07-17
35851,44174,41,2024-06-25
35852,11425,143,2024-11-05
35853,34605,159,2024-10-27
35854,11232,88,2024-04-11
35855,35397,161,2024-02-15
35856,3751,9,2025-05-03
35857,24174,47,2024-01-13
35858,31952,146,2024-02-06
35859,30434,115,2025-03-11
35860,17330,56,2024-04-13
35861,7763,164,2025-01-31
35862,30259,4,2025-11-15
35863,24457,163,2025-08-13
35864,27513,109,2024-11-11
35865,14373,13,2025-04-01
35866,29852,54,2025-06-22
35867,38889,61,2025-08-13
35868,21428,199,2024-08-16
35869,12875,21,2025-09-06
35870,44942,174,2024-04-19
35871,19608,15,2024-09-23
35872,21169,142,2024-04-13
35873,9313,25,2024-03-20
35874,36836,168,2025-07-03
35875,30517,167,2024-05-07
35876,38449,111,2025-08-22
35877,7121,27,2024-09-15
35878,37789,14,2024-11-13
35879,14771,87,2024-12-04
35880,8081,154,2024-07-17
35881,33702,136,2024-06-04
35882,6757,54,2025-08-13
35883,1757,159,2025-02-03
35884,33373,103,2025-07-01
35885,39536,170,2025-06-05
35886,31382,49,2024-01-05
35887,22144,62,2024-03-28
35888,41031,86,2024-08-20
35889,34499,104,2024-12-05
35890,33912,140,2024-05-28
35891,35422,184,2025-06-21
35892,110,115,2024-04-18
35893,41868,134,2024-06-25
35894,33222,37,2025-04-05
35895,36438,2,2024-06-10
35896,38384,50,2024-07-03
35897,15039,148,2025-06-21
35898,2763,107,2025-01-20
35899,34018,73,2025-11-25
35900,24916,114,2025-03-30
35901,31697,142,2024-11-07
35902,5347,112,2025-11-14
35903,34665,143,2024-07-18
35904,42214,196,2025-07-23
35905,34634,61,2024-11-11
35906,16923,172,2024-02-08
35907,28283,169,2024-10-16
35908,28178,110,2024-12-09
